rank,product_id,handle,title,vendor,price_max,confidence,score,tier,recommended_subs,recommended_brand,detected_line,detected_model,tier_a_enriched,inventory_status,reason
22,9666752053561,echo-3670-3-task-chair,Echo 3670-3 task chair,Brant Business Interiors,699.99,med,8,B-WORTH-IT,task-chairs | medium-back-seating | gfg-chairs,Brant Business Interiors,,3670,N,sold-out,+5 price>=500; +2 model number in title; +1 metafields present
23,9666746384697,granada-deluxe-high-back-multi-tilter-1170-3-2,Granada deluxe high back multi-tilter (1170-3) — 1170-3,Brant Business Interiors,669.99,med,8,B-WORTH-IT,task-chairs | big-heavy-seating | chair-mats,Brant Business Interiors,,1170,N,sold-out,+5 price>=500; +2 model number in title; +1 metafields present
24,9666754675001,loover-medium-back-synchro-tilter-chair,Loover medium back synchro tilter chair,Brant Business Interiors,659.99,high,8,B-WORTH-IT,task-chairs | medium-back-seating | gfg-chairs,Brant Business Interiors,Loover,,N,sold-out,+5 price>=500; +2 line:loover; +1 metafields present
25,9666752708921,echo-medium-back-multi-tilter-3671-3-1,Echo medium back multi-tilter (3671-3) — 3671-3,Brant Business Interiors,650.0,med,8,B-WORTH-IT,task-chairs | medium-back-seating | gfg-chairs,Brant Business Interiors,,3671,N,sold-out,+5 price>=500; +2 model number in title; +1 metafields present
26,9666753855801,loover-high-back-synchro-tilter,Loover high back synchro tilter,Brant Business Interiors,649.99,high,8,B-WORTH-IT,task-chairs | chair-mats | medium-back-seating,Brant Business Interiors,Loover,,N,sold-out,+5 price>=500; +2 line:loover; +1 metafields present
27,9667794239801,guest-chair-6960-moda,Guest chair 6960 moda,Brant Business Interiors,559.0,low,8,B-WORTH-IT,guest-seating | gfg-chairs | obusforme-chairs,Brant Business Interiors,,6960,N,sold-out,+5 price>=500; +2 model number in title; +1 metafields present
28,9817942851897,the-halifax-collection,The halifax collection,Brant Business Interiors,99999.99,none,7,B-WORTH-IT,height-adjustable-tables | metal-vertical-files | side-coffee-table,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
29,10170849231161,evolve-workstations,Evolve workstations,Brant Business Interiors,23000.0,none,7,B-WORTH-IT,desks | gfg-desks | heartwood-desks,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
30,9817158025529,halifax-typical-9,Halifax typical 9,Brant Business Interiors,8999.99,none,7,B-WORTH-IT,gfg-tables | heartwood-tables | otg-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
31,9779411976505,gardex-fireproof-lateral-file-2-3-4-drawer,"Gardex fireproof lateral file ( 2, 3 & 4 drawer) — 4 drawer",Brant Business Interiors,6999.99,low,7,B-WORTH-IT,lateral-file-cabinets-storage | vertical-file-cabinets-storage | fire-resistant-file-cabinets,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 multi-option variants
32,9864578040121,indigenous-medicine-wheel-huddl,Indigenous medicine wheel huddl,Brant Business Interiors,6899.0,none,7,B-WORTH-IT,gfg-chairs | obusforme-chairs | otg-lounge,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
33,9968549888313,temptations-office-suite-copy,The corporate office suite,Brant Business Interiors,5499.99,none,7,B-WORTH-IT,room-private-office | desk-top-dividers | medium-back-seating,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
34,9968549429561,temptations-office-suite,Temptations office suite,Brant Business Interiors,4299.99,none,7,B-WORTH-IT,room-private-office | desk-top-dividers | medium-back-seating,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
35,9702669975865,ranger-steel-4-post-table-42-w-x-30-d,Ranger steel 4-post table 42”w x 30”d,Brant Business Interiors,3987.0,none,7,B-WORTH-IT,desk-top-dividers | drafting-tables | end-tables-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
36,9779950256441,vertical-fireproof-cabinets-2-3-4-drawer,"Vertical fireproof cabinets (2, 3 & 4 drawer) — 4 drawer",Brant Business Interiors,3599.99,low,7,B-WORTH-IT,vertical-file-cabinets-storage | fire-resistant-file-cabinets | lateral-file-cabinets-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 multi-option variants
37,9667868524857,soft-pods,Soft pods,Brant Business Interiors,3412.0,none,7,B-WORTH-IT,furniture | office-furniture,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
38,9674747117881,upscale-meeting-boardroom-tables-3-sizes-8-colours,"Upscale meeting / boardroom tables 3 sizes, 8 colours — 3 sizes",Brant Business Interiors,3038.0,med,7,B-WORTH-IT,boardroom | meeting-tables | round-square-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 multi-option variants
39,10212197105977,upscale-meeting-boardroom-tables-3-sizes-8-colours-3-sizes-copy,"Upscale meeting / boardroom tables 3 sizes, 8 colours — 3 sizes (Copy)",Brant Business Interiors,3038.0,med,7,B-WORTH-IT,boardroom | meeting-tables | gfg-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 multi-option variants
40,9858891776313,links-custom-reception-unit-60x72,"Links custom reception unit — 60""x72""",Brant Business Interiors,2999.99,none,7,B-WORTH-IT,lounge-reception | room-reception | reception-desks-desks,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
41,9840940810553,l-shape-desk-with-36h-privacy-panel,"L-shape desk with 36""h privacy panel — 36""",Brant Business Interiors,2799.99,none,7,B-WORTH-IT,l-shape | panel-systems,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
42,9676931498297,recycled-plastic-picnic-tables,Recycled plastic picnic tables,Brant Business Interiors,2655.0,none,7,B-WORTH-IT,gfg-tables | heartwood-tables | otg-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
43,9103329820985,security-safe-39-x-26-5-x-26-5-1,"Security safe — 39"" x 26.5"" x 26.5""",Brant Business Interiors,2548.0,none,7,B-WORTH-IT,chair-mats | fire-resistant-file-cabinets-safes | multi-person-workstations,Brant Business Interiors,,,N,not-tracked,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
44,9782474211641,institutional-series-lateral-file-cabinet-2-3-4-5-drawer,"Institutional series lateral file cabinet (2,3,4 & 5 drawer) — 5 drawer",Brant Business Interiors,2399.99,high,7,B-WORTH-IT,storage | pedestal-drawers-storage | lateral-file-cabinets-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 multi-option variants
45,9103182364985,plexiglass-hanging-modesty-panel-48-width-x-15-height-2,"Plexiglass hanging modesty panel - 48"" width x 15"" height — 15""",Brant Business Interiors,1999.99,none,7,B-WORTH-IT,room-private-office | laminate-bookcases | office-furniture,Brant Business Interiors,,,N,not-tracked,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
46,9852995436857,display-shelving,Display shelving,Brant Business Interiors,1969.99,none,7,B-WORTH-IT,,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
47,9692198633785,lockerettes-6-tier-bank-of-3-36-x-18-x-72-steel-grey-rivet-assembled,"Lockerettes, 6 -tier, bank of 3, 36"" x 18"" x 72"", steel, grey, rivet (assembled) — 36"" x 18"" x 72""",Brant Business Interiors,1799.99,none,7,B-WORTH-IT,,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
48,9851761426745,racetrack-conference-table-1-top,"Racetrack conference table 1"" top — 1""",Brant Business Interiors,1699.99,med,7,B-WORTH-IT,tables | meeting-tables | training-flip-top-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 multi-option variants
49,9832199749945,felt-acoustic-room-dividers,Felt acoustic room dividers,Brant Business Interiors,1689.99,med,7,B-WORTH-IT,desk-top-dividers | room-dividers-panels-dividers | otg-panels,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 multi-option variants
50,9858778431801,cabinet-file-file-right-wardrobe-inv-6524cffwr-24,Cabinet / file / file / right wardrobe — INV-6524CFFWR-24,Brant Business Interiors,1299.99,none,7,B-WORTH-IT,fire-resistant-file-cabinets | laminate-bookcases | lateral-file-cabinets-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
51,10040680808761,pneumatic-single-table,Pneumatic single table,Brant Business Interiors,945.0,med,7,B-WORTH-IT,desk-top-sit-stand | tables | desktop-sit-stand,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 multi-option variants
52,9936909893945,mobile-machine-stand-with-shelf-on-wheels,Mobile machine stand with shelf on wheels,Brant Business Interiors,899.99,none,7,B-WORTH-IT,gfg-storage | heartwood-storage | room-open-plan,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
53,9693074391353,scoot-multi-purpose-lectern-8922bl-1,Scoot multi-purpose lectern — 8922BL,Brant Business Interiors,847.0,none,7,B-WORTH-IT,gfg-storage | heartwood-storage | room-open-plan,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
54,9837829685561,scoot-8945bl-lectern,Scoot 8945BL lectern,Brant Business Interiors,829.99,none,7,B-WORTH-IT,gfg-storage | heartwood-storage | otg-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
55,9724679127353,workway-planters,Workway planters,Brant Business Interiors,819.0,med,7,B-WORTH-IT,planters,Brant Business Interiors,,,N,in-stock-150,+5 price>=500; +1 metafields present; +1 multi-option variants
56,9754651525433,shoptech-099rx,Shoptech — 099RX,Brant Business Interiors,799.99,none,7,B-WORTH-IT,gfg-chairs | obusforme-chairs | otg-lounge,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
57,9693141827897,desk-top-divider-divide,Desk top divider divide,Brant Business Interiors,766.0,med,7,B-WORTH-IT,desks | gfg-desks | heartwood-desks,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 multi-option variants
58,9753585910073,basics-elora-chair-high-back-black-leather-luxhide-mvl1893upu30bl20,"Basics elora chair - high back - black - leather, luxhide — MVL1893UPU30BL20",Brant Business Interiors,649.99,none,7,B-WORTH-IT,chair-mats | leather-faux-seating | medium-back-seating,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
59,9725776691513,anda-seat-phantom-king-gaming-style-office-chair,Anda seat phantom king gaming style office chair,Brant Business Interiors,599.99,none,7,B-WORTH-IT,room-private-office | chair-mats | gaming,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 no claude_confidence (needs manual research)
60,9853059694905,meeting-table,Meeting table,Brant Business Interiors,529.99,med,7,B-WORTH-IT,tables | meeting-tables | training-flip-top-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 multi-option variants
61,9666375647545,bar-height-table,Bar height table,Brant Business Interiors,519.99,med,7,B-WORTH-IT,tables | round-square-tables | bar-height-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present; +1 multi-option variants
62,9710313079097,safco-2130sl-desk-mount-for-monitor-keyboard,"Safco 2130SL desk mount for monitor, keyboard",Safco,319.3,med,7,B-WORTH-IT,desks | desktop-sit-stand | height-adjustable-tables-desks,Safco,,,N,sold-out,+3 named brand vendor; +3 price>=200; +1 metafields present
63,9688170398009,agile-double-sided-8-pod-height-adjustable-shared-desk,Agile double sided 8-pod height adjustable shared desk,Brant Business Interiors,16038.0,med,6,B-WORTH-IT,height-adjustable-tables | desk-top-dividers | side-coffee-table,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
64,9822314070329,halifax-series,Halifax series,Brant Business Interiors,6999.99,low,6,B-WORTH-IT,bar-height-tables | gfg-tables | heartwood-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
65,9820816179513,halifax-executive-suite,Halifax executive suite,Brant Business Interiors,6399.99,low,6,B-WORTH-IT,bar-height-tables | gfg-tables | heartwood-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
66,9897192554809,executive-workstation-10x10,Executive workstation — 10'x10',Brant Business Interiors,5999.99,med,6,B-WORTH-IT,pedestal-drawers-storage | storage | room-open-plan,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
67,9749033386297,partitions-66-high-6-offices,"Partitions 66"" high 6 offices — 66""",Brant Business Interiors,4599.0,low,6,B-WORTH-IT,medium-back-seating | panels-partitions | otg-panels,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
68,9853010051385,storage-cabinet-with-doors,Storage cabinet with doors,Brant Business Interiors,4569.99,high,6,B-WORTH-IT,storage | gfg-storage | heartwood-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
69,9757974364473,screenflex-room-dividers,Screenflex room dividers,Brant Business Interiors,4555.0,med,6,B-WORTH-IT,desk-top-dividers | room-dividers-panels-dividers | otg-panels,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
70,9785891127609,ranger-table,Ranger table,Brant Business Interiors,4451.0,med,6,B-WORTH-IT,tables | drafting-tables | gfg-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
71,9726800527673,executive-suites-height-adjustable-desk,Executive suites height adjustable desk,Brant Business Interiors,4250.0,high,6,B-WORTH-IT,storage | height-adjustable-tables | pedestal-drawers-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
72,9693071737145,drafting-table,Drafting table,Brant Business Interiors,3999.99,med,6,B-WORTH-IT,tables | otg-panels | drafting-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
73,9098379854137,reception-desk-84-x-84-1,"Reception desk — 84"" x 84""",Brant Business Interiors,3438.9,med,6,B-WORTH-IT,desks | office-furniture | lounge-reception,Brant Business Interiors,,,N,not-tracked,+5 price>=500; +1 metafields present
74,9103328969017,security-safe-fire-resistant-50-5-x-26-5-1,"Security safe fire resistant — 50.5"" x 26.5""",Brant Business Interiors,3077.0,low,6,B-WORTH-IT,fire-resistant-safes-storage | gfg-storage | heartwood-storage,Brant Business Interiors,,,N,not-tracked,+5 price>=500; +1 metafields present
75,9693073867065,drafting-table-precision-table-2-sizes,Drafting table precision table — 2 sizes,Brant Business Interiors,2999.99,med,6,B-WORTH-IT,tables | drafting-tables | side-coffee-table,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
76,9693076390201,drafting-table-custom,Drafting table custom,Brant Business Interiors,2899.99,med,6,B-WORTH-IT,tables | drafting-tables | side-coffee-table,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
77,9788850307385,nutmeg-reception,Nutmeg reception,Brant Business Interiors,2733.0,low,6,B-WORTH-IT,wardrobe-storage | gfg-storage | heartwood-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
78,9785193038137,makerspace-tables,Makerspace tables,Brant Business Interiors,2622.0,med,6,B-WORTH-IT,tables | round-square-tables | gfg-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
79,9911112433977,metal-apex-desk,Metal apex desk,Brant Business Interiors,2499.99,med,6,B-WORTH-IT,desks | pedestals | storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
80,9720842944825,u-shape-d-top-workstation,U-shape d-top workstation,Brant Business Interiors,2499.99,med,6,B-WORTH-IT,desks | gfg-desks | heartwood-desks,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
81,9665393262905,height-adjustable-l-shape-71x71,"Height adjustable l-shape — 71""x71""",Brant Business Interiors,2499.0,high,6,B-WORTH-IT,pedestal-drawers-storage | storage | height-adjustable-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
82,9665415807289,dual-sided-height-adjustable-table,Dual sided height adjustable table,Brant Business Interiors,2299.99,med,6,B-WORTH-IT,height-adjustable-tables | desk-top-dividers | side-coffee-table,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
83,9776397713721,jumbo-storage-cabinet-assembled-72-h-x48w-x-24-d,"Jumbo storage cabinet assembled 72"" h x48""w x 24"" d — 24""",Brant Business Interiors,2299.99,high,6,B-WORTH-IT,storage | gfg-storage | heartwood-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
84,9733027463481,prime-multi-storage-cabinet-lateral-file,Prime multi-storage cabinet / lateral file,Brant Business Interiors,2229.99,high,6,B-WORTH-IT,storage | lateral-file-cabinets-storage | gfg-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
85,9733369233721,hideaway-storage-cabinet-1,Hideaway storage cabinet,Brant Business Interiors,2199.99,high,6,B-WORTH-IT,storage | gfg-storage | heartwood-storage,Brant Business Interiors,,,N,in-stock-2,+5 price>=500; +1 metafields present
86,9103330115897,gardex-security-safe-fire-resistant-size-29-x-21-5-x-21-5-beige,"Gardex security safe- fire resistant -size 29"" x 21.5"" x 21.5"" - beige — 29"" x 21.5"" x 21.5""",Brant Business Interiors,2189.0,low,6,B-WORTH-IT,fire-resistant-safes-storage | gfg-storage | heartwood-storage,Brant Business Interiors,,,N,not-tracked,+5 price>=500; +1 metafields present
87,10086725615929,table-desk-height-adjustable,Table desk height adjustable,Brant Business Interiors,2122.0,med,6,B-WORTH-IT,tables | desks | height-adjustable-tables,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
88,9726676795705,u-shaped-desk-with-3-stage-height-adjustable-table,"""u"" shaped desk with 3-stage height adjustable table",Brant Business Interiors,2111.0,high,6,B-WORTH-IT,desks | height-adjustable-tables | l-shape-desks,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
89,10182901629241,vitrola-lounge-seating-4-size-options,Vitrola lounge seating (4 size options) — 4 size,Brant Business Interiors,2109.0,med,6,B-WORTH-IT,lounge | seating | otg-lounge,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
90,9983628968249,l-shape-suite-layout-41c,L-shape suite layout # — 41C,Brant Business Interiors,2099.99,high,6,B-WORTH-IT,storage | pedestal-drawers-storage | l-shape-desks,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
91,9103363014969,workstation-96-x-50-x-29-4-person-station,"Workstation - 96"" x 50"" x 29"" (4 person station) — 96"" x 50"" x 29""",Brant Business Interiors,2099.99,low,6,B-WORTH-IT,gfg-desks | multi-person-workstations-desks | desks,Brant Business Interiors,,,N,not-tracked,+5 price>=500; +1 metafields present
92,9669947326777,reception-unit-72x72,"L shape reception unit 72""x72"" 15B — 72""x72""",Brant Business Interiors,1999.99,med,6,B-WORTH-IT,l-shape-desks | desks | lounge-reception,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
93,9103331131705,gardex-security-safe-fire-resistant-24-x-18-5-x-18-5,"Gardex security safe - fire resistant — 24"" x 18.5"" x 18.5""",Brant Business Interiors,1987.0,low,6,B-WORTH-IT,fire-resistant-file-cabinets-safes | height-adjustable-tables | multi-person-workstations,Brant Business Interiors,,,N,not-tracked,+5 price>=500; +1 metafields present
94,9733027758393,prime-49-6h-two-file-multi-stor-cabinet-36w-x-18d-one-adjustable-shelf-gucc41g1836p,"Prime 49.6""h two file multi-stor cabinet, 36""w x 18""d - one adjustable shelf (gucc41g1836p) — GUCC41G1836P",Brant Business Interiors,1899.0,low,6,B-WORTH-IT,lateral-file-cabinets-storage | gfg-storage | otg-storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
95,9676171379001,wind-lounge-seating,Wind lounge seating,Brant Business Interiors,1859.99,med,6,B-WORTH-IT,lounge | seating | otg-lounge,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
96,9726645797177,u-shaped-suite-with-table-desk-72w-x-96d,"""u"" shaped suite with table desk - 72""w x 96""d — 96""",Brant Business Interiors,1857.6,low,6,B-WORTH-IT,room-open-plan | boardroom-conference-meeting | desk-top-dividers,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
97,9039376023865,desk-u-shape-mlp205-1,Desk u-shape,Brant Business Interiors,1799.99,high,6,B-WORTH-IT,desks | room-open-plan | boardroom-conference-meeting,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
98,9683142836537,metal-desk-laminate-top,Metal desk laminate top,Brant Business Interiors,1799.99,med,6,B-WORTH-IT,desks | pedestal-drawers-storage | storage,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
99,9924895768889,cluster-seating,Cluster seating 4,Brant Business Interiors,1699.99,med,6,B-WORTH-IT,seating | gfg-chairs | obusforme-chairs,Brant Business Interiors,,,N,sold-out,+5 price>=500; +1 metafields present
