url,http_status,gate_ok,section_has_bbi_nav,bbi_chrome_expected,template,note
/,200,true,true,true,index,
/collections/seating,200,true,true,true,collection.seating,
/collections/desks,200,true,true,true,collection.desks,
/collections/storage,200,true,true,true,collection.storage,
/collections/tables,200,true,true,true,collection.tables,
/collections/boardroom,200,true,true,true,collection.boardroom,
/collections/ergonomic-products,200,true,true,true,collection.ergonomic-products,
/collections/panels-room-dividers,200,true,true,true,collection.panels-room-dividers,
/collections/accessories,200,true,true,true,collection.accessories,
/collections/quiet-spaces,200,true,true,true,collection.quiet-spaces,
/collections/business-furniture,200,true,true,true,collection.business-furniture,
/pages/design-services,200,true,true,true,page.design-services,
/pages/faq,200,true,true,true,page.faq,
/pages/oecm,200,true,true,true,page.oecm,
/pages/quote,200,true,true,true,page.quote,
/pages/industries,200,true,true,true,page.industries,
/pages/healthcare,200,true,true,true,page.healthcare,
/pages/education,200,true,true,true,page.education,
/pages/government,200,true,true,true,page.government,
/pages/non-profit,200,true,true,true,page.non-profit,
/pages/professional-services,200,true,true,true,page.professional-services,
/pages/about,200,true,true,true,page.about,
/pages/brands,200,true,true,true,page.brands,
/pages/brands-keilhauer,200,true,true,true,page.brands-keilhauer,
/pages/brands-global-teknion,200,true,true,true,page.brands-global-teknion,
/pages/brands-ergocentric,200,true,true,true,page.brands-ergocentric,
/pages/our-work,200,true,true,true,page.our-work,
/pages/delivery,200,true,true,true,page.delivery,
/pages/relocation,200,true,true,true,page.relocation,
/pages/contact,200,true,true,true,page.contact,
/pages/customer-stories,200,true,true,true,page.customer-stories,
/policies/privacy-policy,200,false,false,false,policy,
/policies/terms-of-service,200,false,false,false,policy,
/policies/shipping-policy,200,false,false,false,policy,
