Handle,Product_ID,Action,Status,Target_Image_ID,Orig_Position
lateral-file-storage-cabinet-with-shelves,10086762348857,ALREADY_OK,ALREADY_OK,53463043113273,1
table-desk-height-adjustable,10086725615929,ALREADY_OK,ALREADY_OK,53463043277113,1
lateral-file-used-5-drawer-beige-nevada,10084137697593,ALREADY_OK,ALREADY_OK,53463043506489,1
l-shape-workstations,10053881692473,ALREADY_OK,ALREADY_OK,53463043703097,1
sonic-armchair-polypropylene-seat-back-6513,10043552071993,ALREADY_OK,ALREADY_OK,53463043899705,1
sonic-armless-counter-stool-polypropylene-seat-back-6558cs,10042767475001,REORDER,REORDERED,53463044063545,2
white-board-magnetic-mobile-on-wheels,10030448312633,REORDER,REORDERED,53463044227385,2
solo-gues-chair,10024625176889,REORDER,REORDERED,53463044391225,2
arm-caps-for-2330-chair,10023161004345,REORDER,REORDERED,53463044555065,2
tritek-7472-3-chair,10016146129209,REORDER,REORDERED,53463044718905,2
finch-armless-stacking-armchair-mvl11704,9982117806393,REORDER,REORDERED,53463044981049,2
low-back-stacking-chair-mvl2747,9982116069689,REORDER,REORDERED,53463045308729,2
armless-low-back-stacking-chair-mvl2748,9982115381561,REORDER,REORDERED,53463045603641,2
temptations-office-suite-copy,9968549888313,REORDER,REORDERED,53463046127929,2
temptations-office-suite,9968549429561,REORDER,REORDERED,53463046619449,2
fax-printer-machine-stand,9968013639993,REORDER,REORDERED,53463046914361,2
follower-block-mvlfb,9963964367161,REORDER,REORDERED,53463047143737,2
levels-bookcase,9963313004857,REORDER,REORDERED,53463047340345,2
keys-2-set,9960567046457,REORDER,REORDERED,53463047536953,2
newland-16w-box-box-file-mobile-pedestal-nlmp23bbf,9950669635897,REORDER,REORDERED,53463047766329,2
sonic-armchair-upholstered-seat-polypropylene-back-casters-6574,9945372459321,REORDER,REORDERED,53463047930169,2
laptop-holder-for-100-ma1c-100-ma2c-monitor-arms,9943316529465,REORDER,REORDERED,53463048094009,2
cluster-seating-2,9924896358713,REORDER,REORDERED,53463048257849,2
cluster-seating,9924895768889,REORDER,REORDERED,53463048421689,2
contemporary-metal-desk,9911124263225,REORDER,REORDERED,53463048585529,2
metal-apex-desk,9911112433977,REORDER,REORDERED,53463048847673,2
dispose,9905594925369,REORDER,REORDERED,53463048978745,2
robust-high-back-multi-tilter-chair-2526,9905517953337,REORDER,REORDERED,53463049208121,2
hutch-with-doors,9903963603257,REORDER,REORDERED,53463049371961,2
executive-workstation-10x10,9897192554809,REORDER,REORDERED,53463049535801,2
l-shape-desk-set-72x72,9893782552889,REORDER,REORDERED,53463049699641,2
l-shape-desk-with-hutch,9893597905209,REORDER,REORDERED,53463049863481,2
indigenous-medicine-wheel-huddl,9864578040121,REORDER,REORDERED,53463050060089,2
coffee-table-1,9862922142009,REORDER,REORDERED,53463050256697,2
credenza-storage-storage-with-locks,9859466658105,REORDER,REORDERED,53463050453305,2
links-custom-reception-unit-60x72,9858891776313,REORDER,REORDERED,53463050617145,2
wardrobe-storage-cabinet-htwlevsr7218,9855836586297,REORDER,REORDERED,53463050813753,2
l-shape-suire,9855829967161,REORDER,REORDERED,53463050977593,2
offices-to-go-newland-l-shaped-suite-nlp420,9855824068921,REORDER,REORDERED,53463051075897,2
meeting-table,9853059694905,REORDER,REORDERED,53463051272505,2
storage-cabinet-with-doors,9853010051385,REORDER,REORDERED,53463051436345,2
display-shelving,9852995436857,REORDER,REORDERED,53463051600185,2
av-stand-sa-81-3016,9846115074361,REORDER,REORDERED,53463051796793,2
quick-assembly-height-adjustable-base,9842444271929,REORDER,REORDERED,53463051960633,2
round-table-cross-base-8-colours,9841829478713,REORDER,REORDERED,53463052222777,2
l-shape-desk-with-36h-privacy-panel-1,9840946479417,REORDER,REORDERED,53463052386617,2
l-shape-desk-with-36h-privacy-panel,9840940810553,REORDER,REORDERED,53463052550457,2
innovation-l-shape-curved-corner,9840929276217,REORDER,REORDERED,53463052714297,2
obusforme-comfort-medium-back-chair-fabric-1241-3-copy,9840806887737,REORDER,REORDERED,53463053074745,2
delivery-75,9834060742969,REORDER,REORDERED,53463053271353,2
mobile-pedestal-file-file,9834039345465,REORDER,REORDERED,53463053435193,2
delivery-35,9831568867641,REORDER,REORDERED,53463053959481,2
ganging-plates-for-terina-tables-gfcngfp,9828101783865,REORDER,REORDERED,53463054188857,2
kensington-ac12-security-charging-cabinet,9827425812793,REORDER,REORDERED,53463054385465,2
kensington-universal-charge-sync-tablet-cabinet,9827425616185,REORDER,REORDERED,53463054549305,2
work-table-at,9826724872505,REORDER,REORDERED,53463054713145,2
aktivity-environ-table,9824093798713,REORDER,REORDERED,53463054876985,2
delivery-charge-65,9822444749113,REORDER,REORDERED,53463055368505,2
dolly-for-sonic-chairs-6517ws,9822363451705,REORDER,REORDERED,53463055532345,2
halifax-typical-4,9822310236473,REORDER,REORDERED,53463055696185,2
delivery-installation-charge-250-00,9819011055929,REORDER,REORDERED,53463056089401,2
delivery-charge-125,9818040172857,REORDER,REORDERED,53463056515385,2
extended-high-back-wide-deep-seat-multi-tilt-bao27513,9816405115193,REORDER,REORDERED,53463056679225,2
elora-multi-tilter-high-back-chair-black-petite-seat-baomvl1894,9815803887929,REORDER,REORDERED,53463056843065,2
innovation-l-shape-set,9800714158393,REORDER,REORDERED,53463057006905,2
hutch-5-sizes,9795588981049,REORDER,REORDERED,53463057170745,2
mobile-pedestal-digital-lock,9788567388473,REORDER,REORDERED,53463057334585,2
bookcase-with-closed-lower-storage,9788108833081,REORDER,REORDERED,53463057498425,2
credenza-with-sliding-doors-36-high,9788103917881,REORDER,REORDERED,53463057596729,2
installation-chairs,9786994098489,REORDER,REORDERED,53463057760569,2
ranger-table,9785891127609,REORDER,REORDERED,53463057957177,2
single-pedestal-desk-nlp232,9782658629945,REORDER,REORDERED,53463058153785,2
height-adjustable-rectangular-table-2-legs-nl48243qht,9782607446329,REORDER,REORDERED,53463058383161,2
two-drawer-lateral-file-nl3624lft,9782603186489,REORDER,REORDERED,53463058579769,2
desktop-sit-stand-workstation-mvl5230b0,9782589817145,REORDER,REORDERED,53463058776377,2
fireking-storage-cabinet-44-high,9779951731001,REORDER,REORDERED,53463059005753,2
fireking-storage-cabinet-72-high,9779951436089,REORDER,REORDERED,53463059169593,2
delivery-charge-175-00,9778565120313,REORDER,REORDERED,53463059464505,2
momentum-series-combos-keyboard-arm-premium-quality,9778549653817,REORDER,REORDERED,53463059792185,2
basics-comfort-time-drafting-stool-with-or-without-arms-1,9776149299513,REORDER,REORDERED,53463060185401,2
marlee-synchro-tilter-chairs,9776144908601,REORDER,REORDERED,53463060349241,2
avro-350m-heavy-duty-multi-tilter-chairs-mvl11716,9776142713145,REORDER,REORDERED,53463060545849,2
ultra-armless-high-back-tilter-mvl11732,9771602084153,REORDER,REORDERED,53463060709689,2
ashmont-medium-back-management-tilter-mvl2781,9771597070649,REORDER,REORDERED,53463060873529,2
offices-to-go-ashmont-tilter-chair-1,9771586617657,REORDER,REORDERED,53463061037369,2
basics-preto-swivel-tilt-chair-1,9771509907769,REORDER,REORDERED,53463061201209,2
knight-lightweight-tilter-chair-otg11360,9771443061049,REORDER,REORDERED,53463061365049,2
ibex-synchro-tilter-chairs-mvl2801,9771009016121,REORDER,REORDERED,53463061954873,2
tl-high-back-synchro-tilter,9770566779193,REORDER,REORDERED,53463062118713,2
vion-mesh-medium-back-chair,9770565009721,REORDER,REORDERED,53463062643001,2
craft-round-20-unit,9769342763321,REORDER,REORDERED,53463062970681,2
aktivity-puddle,9769301311801,REORDER,REORDERED,53463063134521,2
trapezoid-tables-3-sizes,9769268871481,REORDER,REORDERED,53463063265593,2
basics-comfort-time-ultra-multi-tilter-big-tall-with-headrest,9768075526457,REORDER,REORDERED,53463064019257,2
hardfloor-casters,9766928220473,REORDER,REORDERED,53463064183097,2
premium-plinth-cylinder-table-recessed-base-2,9764262936889,REORDER,REORDERED,53463064346937,2
wardrobe,9763504587065,REORDER,REORDERED,53463064543545,2
credenza-lfmsu,9763460579641,REORDER,REORDERED,53463064740153,2
credenza-scmsu,9763442524473,REORDER,REORDERED,53463065067833,2
credenza-lflf-1,9763429646649,REORDER,REORDERED,53463065231673,2
desk-shell-5-sizes,9757722313017,REORDER,REORDERED,53463065395513,2
shoptech-081,9754663682361,REORDER,REORDERED,53463065461049,2
shoptech-2500-pc550,9754656440633,REORDER,REORDERED,53463065624889,2
shoptech-082,9754654933305,REORDER,REORDERED,53463065788729,2
shoptech-2410,9754654245177,REORDER,REORDERED,53463069688121,2
shoptech-2302-pc775,9754653262137,REORDER,REORDERED,53463069917497,2
shoptech-2300-pc775,9754652115257,REORDER,REORDERED,53463070114105,2
shoptech-099rx,9754651525433,REORDER,REORDERED,53463070277945,2
shoptech-097-pc1000,9754633077049,REORDER,REORDERED,53463070441785,2
basics-elora-chair-high-back-black-leather-luxhide-mvl1893upu30bl20,9753585910073,REORDER,REORDERED,53463070605625,2
credenza-storage-hutch,9751461036345,REORDER,REORDERED,53463070802233,2
partitions-66-high-3-offices-1,9749032632633,REORDER,REORDERED,53463070998841,2
sparrow-otg10920-guest-chair,9747454427449,REORDER,REORDERED,53463071195449,2
zune-tilter-chair-black-fabric-seat-plastic-mesh-back-medium-back-otg11751b,9747452592441,REORDER,REORDERED,53463071293753,2
comfort-time-ultra-petit-seat-multi-tilter-chair-high-back-baomvl1880g5,9747448791353,REORDER,REORDERED,53463071457593,2
basics-comfort-time-ultra-multi-tilter-chair-with-headrest,9747447873849,REORDER,REORDERED,53463071654201,2
chevron-ultra-high-back-multi-tilter-chair-high-back-bao11203-1,9747444826425,REORDER,REORDERED,53463071818041,2
installation1000,9746802016569,REORDER,REORDERED,53463072047417,2
installation475,9746789433657,REORDER,REORDERED,53463072211257,2
l-shape-desk-8-sizes-9-colour-options-2,9746782093625,REORDER,REORDERED,53463072375097,2
l-shape-desk-8-sizes-9-colour-options-1,9746754732345,REORDER,REORDERED,53463072571705,2
delivery-charge-85-00,9746670092601,REORDER,REORDERED,53463072735545,2
mobile-pedestal-drawer-box-file,9745591533881,REORDER,REORDERED,53463072997689,2
prime-49-6h-two-file-multi-stor-cabinet-36w-x-18d-one-adjustable-shelf-gucc41g1836p,9733027758393,REORDER,REORDERED,53463073161529,2
prime-multi-storage-cabinet-lateral-file,9733027463481,REORDER,REORDERED,53463073685817,2
multi-storage-cabinet-93365msl,9733021401401,REORDER,REORDERED,53463073849657,2
dual-coloured-bookcase-15-sizes-available,9729952809273,REORDER,REORDERED,53463074013497,2
kate-medium-back-armchair-2813,9729489043769,REORDER,REORDERED,53463074111801,2
the-twilight-armchair-wood-veneer-back-2198ws,9729485898041,REORDER,REORDERED,53463074275641,2
the-erin-armless-chair-wood-legs-gc36530,9729480393017,REORDER,REORDERED,53463074505017,2
marche-guest-chair-8622,9729473741113,REORDER,REORDERED,53463074668857,2
marche-guest-chair-copy,9729471086905,REORDER,REORDERED,53463074931001,2
marche-guest-chair,9729470857529,REORDER,REORDERED,53463075160377,2
pedestal-file-file-with-or-without-wheels,9727990038841,REORDER,REORDERED,53463075389753,2
4-drawer-legal-width-vertical-file,9727970705721,REORDER,REORDERED,53463075619129,2
4-drawer-letter-width-vertical-file,9727969984825,REORDER,REORDERED,53463075782969,2
2-drawer-legal-width-vertical-file,9727968149817,REORDER,REORDERED,53463075946809,2
vertical-file-2-drawer-letter,9727967494457,REORDER,REORDERED,53463076110649,2
executive-suites-height-adjustable-desk,9726800527673,REORDER,REORDERED,53463076307257,2
management-u-shaped-suite-with-3-stage-height-adjustable-table,9726681907513,REORDER,REORDERED,53463076438329,2
l-shaped-desk-with-single-pedestal-60w-x-72d,9726671814969,REORDER,REORDERED,53463076602169,2
l-shaped-desk-with-double-pedestals-72w-x-78d,9726668308793,REORDER,REORDERED,53463076864313,2
u-shaped-desk-72w-x-96d,9726665031993,REORDER,REORDERED,53463077028153,2
single-pedestal-desk-60w-x-30d,9726655791417,REORDER,REORDERED,53463077191993,2
management-u-shaped-suite-72w-x-102d,9726650548537,REORDER,REORDERED,53463077519673,2
u-shaped-suite-with-rectangular-island,9726648353081,REORDER,REORDERED,53463077683513,2
u-shaped-suite-with-table-desk-72w-x-96d,9726645797177,REORDER,REORDERED,53463078043961,2
workway-planters,9724679127353,REORDER,REORDERED,53463078404409,2
taper-leg-table,9724674277689,REORDER,REORDERED,53463078732089,2
loop-leg-table,9724647440697,REORDER,REORDERED,53463078928697,2
led-desk-lamp-with-usb-and-night-light,9723832435001,REORDER,REORDERED,53463079289145,2
desk-lamp-5-30-w-led-bulb-adjustable-metal-acrylic-desk-mountable,9723829223737,REORDER,REORDERED,53463079387449,2
storage-right-ff-sc-left-wardrobe,9722809811257,REORDER,REORDERED,53463079977273,2
storage-wardrobe-unit,9722804863289,REORDER,REORDERED,53463080173881,2
wardrobe-with-lock,9722802536761,REORDER,REORDERED,53463080599865,2
credenza-sliding-doors,9722789822777,REORDER,REORDERED,53463080796473,2
storage-cabinet-credenza-72w-x-24d,9722772357433,REORDER,REORDERED,53463081124153,2
