"SECTION","value","handle_or_count","extra"
"SUB_COLLECTIONS","24 Hour (Seating)","24-hour-seating","custom | ok"
"SUB_COLLECTIONS","Accessories","type-accessories","smart | ok"
"SUB_COLLECTIONS","Accessories","accessories","smart | ok"
"SUB_COLLECTIONS","Acoustic Panels","acoustic-panels","custom | ok"
"SUB_COLLECTIONS","Acoustic Pods","acoustic-pods","custom | ok"
"SUB_COLLECTIONS","Acoustic Solutions","acoustic-solutions","smart | ok"
"SUB_COLLECTIONS","Active Seating","active-seating","custom | ok"
"SUB_COLLECTIONS","Air Quality Management","air-quality-management","custom | ok"
"SUB_COLLECTIONS","All Accessories","all-accessories","smart | ok"
"SUB_COLLECTIONS","All Boardroom & Conference","all-boardroom","smart | ok"
"SUB_COLLECTIONS","All Business Furniture","all-business-furniture","smart | ok"
"SUB_COLLECTIONS","All Desks & Workstations","all-desks","smart | ok"
"SUB_COLLECTIONS","All Ergonomic Products","all-ergonomic","smart | ok"
"SUB_COLLECTIONS","All Panels & Dividers","all-panels","smart | ok"
"SUB_COLLECTIONS","All Quiet Spaces","all-quiet-spaces","smart | ok"
"SUB_COLLECTIONS","All Seating","all-seating","smart | ok"
"SUB_COLLECTIONS","All Storage & Filing","all-storage","smart | ok"
"SUB_COLLECTIONS","All Tables","all-tables","smart | ok"
"SUB_COLLECTIONS","Bar Height (Tables)","bar-height-tables","custom | ok"
"SUB_COLLECTIONS","Bariatric Seating","bariatric-seating","custom | ok"
"SUB_COLLECTIONS","Bases","bases","custom | ok"
"SUB_COLLECTIONS","Beam Seating","beam-seating","custom | ok"
"SUB_COLLECTIONS","Bench Seating","bench-seating","custom | ok"
"SUB_COLLECTIONS","Big & Heavy (Seating)","big-heavy-seating","custom | ok"
"SUB_COLLECTIONS","Boardroom","room-boardroom","smart | ok"
"SUB_COLLECTIONS","Boardroom","boardroom","smart | ok"
"SUB_COLLECTIONS","Boardroom / Conference / Meeting","boardroom-conference-meeting","custom | ok"
"SUB_COLLECTIONS","Boardroom / Conference / Meeting","boardroom-conference-meeting-1","custom | ok"
"SUB_COLLECTIONS","Boardroom Seating","boardroom-seating","custom | ok"
"SUB_COLLECTIONS","Boardroom Storage","boardroom-storage","custom | ok"
"SUB_COLLECTIONS","Bookcases","bookcases","custom | ok"
"SUB_COLLECTIONS","Bookcases (Storage)","bookcases-storage","custom | ok"
"SUB_COLLECTIONS","Business Furniture","business-furniture","smart | ok"
"SUB_COLLECTIONS","Buy Canadian","buy-canadian","custom | ok"
"SUB_COLLECTIONS","Cafe/Lounge Seating","cafe-lounge-seating","custom | ok"
"SUB_COLLECTIONS","Cafeteria & Breakroom Tables","cafeteria-breakroom-tables","custom | ok"
"SUB_COLLECTIONS","Cafeteria / Kitchen (Tables)","cafeteria-kitchen-tables","custom | ok"
"SUB_COLLECTIONS","Chair Mats & Floor Protection","chair-mats","custom | ok"
"SUB_COLLECTIONS","Chairmat (Accessories)","chairmat-accessories","custom | ok"
"SUB_COLLECTIONS","Chairmats (Accessories)","chairmats-accessories","custom | ok"
"SUB_COLLECTIONS","Chairs","type-chairs","smart | ok"
"SUB_COLLECTIONS","Chairs","chairs","custom | ok"
"SUB_COLLECTIONS","Coffee Tables","coffee-tables","custom | ok"
"SUB_COLLECTIONS","Combo Units","combo-units","custom | ok"
"SUB_COLLECTIONS","Conference Seating","conference-seating","custom | ok"
"SUB_COLLECTIONS","Credenza's","credenzas","custom | ok"
"SUB_COLLECTIONS","Desk Top Dividers","desk-top-dividers","custom | ok"
"SUB_COLLECTIONS","Desk Top Sit / Stand","desk-top-sit-stand","custom | ok"
