Handle,Product_ID,Image_Position,Shopify_Image_ID,Shopify_CDN_URL,Alt_Text,FAL_Source_URL,Source_Hero_URL,Live_Pos1_URL,Status
l-shape-desk-with-hutch,9893597905209,2,53511664369977,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/ATf5xjFVWgJSa4Tm7bFkr_7e80d7854a2240cf965fe26318eaa252.jpg?v=1777922543,"L-shape desk with hutch — 72""X72"" - Studio white background [AI office context]",https://v3b.fal.media/files/b/0a98a578/ATf5xjFVWgJSa4Tm7bFkr_7e80d7854a2240cf965fe26318eaa252.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/office-central-brant-business-interiors-default-title-l-shape-desk-with-hutch-72-x72-42970054164793.png?v=1759098306,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/office-central-brant-business-interiors-default-title-l-shape-desk-with-hutch-72-x72-42970054164793.png?v=1759098306,PUSHED
l-shape-loop-leg-desk,9666794258745,2,53511664402745,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/i70kYViildZfixbBpo2oh_014634c9284049e4891a060521f3fa88.jpg?v=1777922546,L-shape loop leg desk - Studio white background [AI office context],https://v3b.fal.media/files/b/0a98a579/i70kYViildZfixbBpo2oh_014634c9284049e4891a060521f3fa88.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/L-Shape-Loop-Leg-Desk-Business-Interiors-16705676.png?v=1750115651,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/L-Shape-Loop-Leg-Desk-Business-Interiors-16705676.png?v=1750115651,PUSHED
l-shape-reception-72-x-72-x-41-1,9103183151417,2,53511664435513,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/l2TJPkVKewiDeca8xkGMo_bfb274e18198482782538515114db4d0.jpg?v=1777922549,"L-shape reception — 72"" x 72"" x 41"" - Studio white background [AI office context]",https://v3b.fal.media/files/b/0a98a57a/l2TJPkVKewiDeca8xkGMo_bfb274e18198482782538515114db4d0.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/L-Shape-Reception-72_-x-72_-x-41_-Business-Interiors-16688423.jpg?v=1750112115,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/L-Shape-Reception-72_-x-72_-x-41_-Business-Interiors-16688423.jpg?v=1750112115,PUSHED
l-shape-suire,9855829967161,2,53511664501049,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/mfNaFQ79M4-dbKCav8MQp_679554a2a81a4e26a47e52a6838e30f0.jpg?v=1777922552,L-shape suite — HTWLEV1LOOP - Studio white background [AI office context],https://v3b.fal.media/files/b/0a98a57c/mfNaFQ79M4-dbKCav8MQp_679554a2a81a4e26a47e52a6838e30f0.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-default-title-l-shape-suite-htwlev1loop-42731461935417.png?v=1759098237,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-default-title-l-shape-suite-htwlev1loop-42731461935417.png?v=1759098237,PUSHED
l-shape-workstations,10053881692473,2,53511664533817,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/hdA5DZxC5HSosNHr3_pfe_3c39acf23b9b47929bccf88ef97089a6.jpg?v=1777922555,"L-shape workstations (9 sizes, 8 colours) — 9 sizes - Studio white background [AI office context]",https://v3b.fal.media/files/b/0a98a57d/hdA5DZxC5HSosNHr3_pfe_3c39acf23b9b47929bccf88ef97089a6.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot2025-12-01153918.png?v=1767457391,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot2025-12-01153918.png?v=1767457391,PUSHED
l-shaped-medium-pile-chair-mat-with-lip-66-x-60-2,9100256477497,2,53511664566585,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/dYHO4yN6ECyP0VqukADe4_a1816e24c5a241c09eddb372e1f727f6.jpg?v=1777922559,"L-shaped medium pile chair mat with lip — 66"" x 60"" - Studio white background [AI office context]",https://v3b.fal.media/files/b/0a98a57e/dYHO4yN6ECyP0VqukADe4_a1816e24c5a241c09eddb372e1f727f6.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/L-Shaped-Medium-Pile-Chair-Mat-With-Lip-66_-x-60_-Business-Interiors-16686261.jpg?v=1750111625,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/L-Shaped-Medium-Pile-Chair-Mat-With-Lip-66_-x-60_-Business-Interiors-16686261.jpg?v=1750111625,PUSHED
laptop-holder-for-100-ma1c-100-ma2c-monitor-arms,9943316529465,2,53511664599353,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/8ORtHhPBR0HZsKv1rAyg0_3ee88c215d994800b9b33b08e5f728c1.jpg?v=1777922562,Laptop holder for 100-MA1C & 100-MA2C monitor arms only - Studio white background [AI office context],https://v3b.fal.media/files/b/0a98a57f/8ORtHhPBR0HZsKv1rAyg0_3ee88c215d994800b9b33b08e5f728c1.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/office-central-brant-business-interiors-laptop-holder-default-title-laptop-holder-for-100-ma1c-100-ma2c-monitor-arms-only-43328554041657.png?v=1759098298,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/office-central-brant-business-interiors-laptop-holder-default-title-laptop-holder-for-100-ma1c-100-ma2c-monitor-arms-only-43328554041657.png?v=1759098298,PUSHED
large-fire-water-safe-13-x-16-x-19-black-2,9098317070649,2,53511664632121,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/f0-s18uyTGVI_mZQe7eb_a125b913f8f048f2839f79c94cb10df3.jpg?v=1777922565,"Large fire/water safe 13"" x 16"" x 19"" - black — 13"" x 16"" x 19"" - Studio white background [AI office context]",https://v3b.fal.media/files/b/0a98a580/_f0-s18uyTGVI_mZQe7eb_a125b913f8f048f2839f79c94cb10df3.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Large-Fire-Water-Safe-13_-x-16_-x-19_-Black-Business-Interiors-16683491.jpg?v=1750111007,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Large-Fire-Water-Safe-13_-x-16_-x-19_-Black-Business-Interiors-16683491.jpg?v=1750111007,PUSHED
lateral-file-storage-cabinet-with-shelves-copy,10086763954489,2,53511664730425,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/wWPVYCysmH4brBXGW3q4P_3035cc8c5c1843178a2b3cccffaa4a67.jpg?v=1777922568,Lateral file & storage cabinet with shelves - Studio white background [AI office context],https://v3b.fal.media/files/b/0a98a584/wWPVYCysmH4brBXGW3q4P_3035cc8c5c1843178a2b3cccffaa4a67.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot2026-01-02143029.png?v=1767383197,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot2026-01-02143029.png?v=1767383197,PUSHED
lateral-file-used-5-drawer-beige-nevada,10084137697593,2,53511664828729,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/r24ITusMuGAjO095wKirn_48e55eb7e7b34d51a327fdb675d3454a.jpg?v=1777922571,Lateral file (used) 5 drawer beige nevada — 5 drawer - Studio white background [AI office context],https://v3b.fal.media/files/b/0a98a586/r24ITusMuGAjO095wKirn_48e55eb7e7b34d51a327fdb675d3454a.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/GULF50G1842P_SIL_REG.jpg?v=1766712366,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/GULF50G1842P_SIL_REG.jpg?v=1766712366,PUSHED
