"product_id","handle","title","admin_url","storefront_url","current_vendor","current_product_type","current_tags","status","variant_count","price_min","price_max","primary_image_url","body_excerpt","created_at","claude_confidence","claude_reasoning","recommended_sub_collection_1","recommended_sub_collection_2","recommended_sub_collection_3","recommended_brand","accept_recommendations","override_sub_collection_1","override_sub_collection_2","override_sub_collection_3","override_brand","additional_tags","leave_in_other","archive_this","notes_for_leo"
"9943309746489","new-pneumatic-single-arm-monitor-stand","""new"" pneumatic single-arm monitor stand","https://admin.shopify.com/store/office-central-online/products/9943309746489","https://brantbusinessinteriors.com/products/new-pneumatic-single-arm-monitor-stand","Brant Business Interiors","","oecm-eligible","active","2","269.99","369.99","https://cdn.shopify.com/s/files/1/0859/0413/0361/files/office-central-brant-business-interiors-single-arm-new-pneumatic-single-arm-monitor-stand-43328446595385.png?v=1759098279","Pneumatic Single or Double Monitor Arm Stand This new monitor stand features the same sleek look as our existing 100-MA2C, with a neutral black frame and blue accents. The 100-MA1C is perfect for freeing up space on your desk and works well with both flat and curved monitors. FEATURES: • Detachable VESA plate (Drilled for 75x75 and 100x100mm) for easier monitor installation • Holds up to 32” (sing","2025-08-06","high","monitor-arms(22: anchor:'monitor arm',anchor:'monitor stand'); desk-top-sit-stand(4: tokens:desk,stand); desktop-sit-stand(2: tokens:stand)","monitor-arms","desk-top-sit-stand","desktop-sit-stand","Brant Business Interiors","","","","","","","","",""
"9726676795705","u-shaped-desk-with-3-stage-height-adjustable-table","""u"" shaped desk with 3-stage height adjustable table","https://admin.shopify.com/store/office-central-online/products/9726676795705","https://brantbusinessinteriors.com/products/u-shaped-desk-with-3-stage-height-adjustable-table","Brant Business Interiors","","oecm-eligible","active","1","2111.00","2111.00","https://cdn.shopify.com/s/files/1/0859/0413/0361/files/U_-Shaped-Desk-with-3-Stage-Height-Adjustable-Table-Business-Interiors-16748347.png?v=1750124809","NLP412 simple and modular components combining classic design, quality and value to support a wide range of workspace applications. From private offices to open plan, meeting and training spaces, Newland offers functional and practical desking solutions that will stand the test of time. L-shaped height adjustable table and credenza with pedestal thermally fused laminate top, 1"" thick 2 mm matching","2024-12-10","high","desks(25: handle-exact:desk,anchor:'l-shape'); height-adjustable-tables(12: anchor:'height adjustable',tokens:adjustable); l-shape-desks(10: anchor:'l-shape')","desks","height-adjustable-tables","l-shape-desks","Brant Business Interiors","","","","","","","","",""
"9714121933113","atlas-sit-to-stand-height-adjustable-desk","Atlas sit to stand height adjustable desk","https://admin.shopify.com/store/office-central-online/products/9714121933113","https://brantbusinessinteriors.com/products/atlas-sit-to-stand-height-adjustable-desk","Brant Business Interiors","","oecm-eligible","active","1","620.68","620.68","https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Atlas-Sit-to-Stand-Height-Adjustable-Desk-Business-Interiors-16740631.png?v=1750123194","Single-Leg. Features 4 programmable memory positions. Low power consumption in standby mode.. Height ranges from 24-1/2"" to 50"". Max weight capacity 130 lbs. 1"" laminate top combined with single-leg height-adjustable base. Top: 24""x36""","2024-11-25","high","desk-top-sit-stand(18: anchor:'sit to stand',tokens:desk,sit,stand,top); height-adjustable-tables(12: anchor:'height adjustable',tokens:adjustable); desktop-sit-stand(4: tokens:sit,stand)","desk-top-sit-stand","height-adjustable-tables","desktop-sit-stand","Brant Business Interiors","","","","","","","","",""
"9770509140281","basics-elora-home-office-synchro-tilter-chair-1","Basics elora home office synchro tilter chair","https://admin.shopify.com/store/office-central-online/products/9770509140281","https://brantbusinessinteriors.com/products/basics-elora-home-office-synchro-tilter-chair-1","Brant Business Interiors","","oecm-eligible","active","1","599.99","599.99","https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Basicsr-EloraTM-Home-Office-Synchro-Tilter-Chair-Business-Interiors-16770866.png?v=1750129198","Key Features: • Medium back chair with knitted mesh back and unique design • Pneumatic seat height adjustment for customizable comfort • Fixed back for added support • Height-adjustable arms for flexibility • Mesh back and fabric seat combination for breathability and modern style • Assembly not included for easy setup and customization","2025-01-28","high","task-chairs(20: anchor:'tilter',anchor:'synchro'); ergonomic-products(20: anchor:'tilter',anchor:'synchro'); medium-back-seating(4: tokens:back,medium)","task-chairs","ergonomic-products","medium-back-seating","Brant Business Interiors","","","","","","","","",""
"9103188459833","boat-shaped-conference-table-96-x-36-x-29","Boat shaped conference table — 96"" x 36"" x 29""","https://admin.shopify.com/store/office-central-online/products/9103188459833","https://brantbusinessinteriors.com/products/boat-shaped-conference-table-96-x-36-x-29","Brant Business Interiors","","oecm-eligible","active","1","799.99","799.99","https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Boat-Shaped-Conference-Table-96_-x-36_-x-29_-Business-Interiors-16689044.jpg?v=1750112254","DESCRIPTION Conference Table is a perfect addition to an home or office where style, comfort, and functionality are combined Ideal & stylish look for your boardroom Boardroom tables are available for small and large meeting areas. 1 piece top with 2 laminate based. Designed for quick and easy assembly.","2024-02-25","high","meeting-tables(24: anchor:'boardroom table',anchor:'conference table'); boardroom-conference-meeting(6: tokens:boardroom,conference,meeting); all-boardroom(4: tokens:boardroom,conference)","meeting-tables","boardroom-conference-meeting","all-boardroom","Brant Business Interiors","","","","","","","","",""
"9698674803001","bookcase-31-5-wide-x-13-75-deep","Bookcase 32"" wide x 14"" deep — 14""","https://admin.shopify.com/store/office-central-online/products/9698674803001","https://brantbusinessinteriors.com/products/bookcase-31-5-wide-x-13-75-deep","Brant Business Interiors","","bestseller, oecm-eligible","active","3","249.99","349.99","https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Bookcase-32_-Wide-x-14_-Deep-Business-Interiors-16731793.png?v=1750121276","Innovations Bookcase 1"" construction Optional bookcase door set (INV-32BKDRS - includes soft-close hinge, hardware and lock) Optional door set can be installed top or bottom 48"" High: 3 shelves 66"" High: 4 Shelves 72"" High: 5 Shelves","2024-11-08","high","bookcases(25: handle-exact:bookcase,anchor:'bookcase')","bookcases","","","Brant Business Interiors","","","","","","","","",""
"9667812786489","bookcase-metal-2-size-options","Bookcase metal 2 size options — 2 size","https://admin.shopify.com/store/office-central-online/products/9667812786489","https://brantbusinessinteriors.com/products/bookcase-metal-2-size-options","Brant Business Interiors","","oecm-eligible","active","2","429.99","529.99","https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Bookcase-Metal-2-Size-options-Business-Interiors-16707640.png?v=1750116108","Economical and sturdy metal bookcase is available in a range of colours. Three adjustable shelves and one fixed bottom shelf Load capacity per shelf of 85 lbs evenly distributed","2024-09-30","high","bookcases(25: handle-exact:bookcase,anchor:'bookcase'); metal-vertical-files(2: tokens:metal)","bookcases","metal-vertical-files","","Brant Business Interiors","","","","","","","","",""
"9688271159609","bow-front-desk-72x42","Bow front desk — 72""X42""","https://admin.shopify.com/store/office-central-online/products/9688271159609","https://brantbusinessinteriors.com/products/bow-front-desk-72x42","Brant Business Interiors","","oecm-eligible","active","1","899.99","899.99","https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Bow-Front-Desk-72_X42_-Business-Interiors-16724424.png?v=1750119740","Bow Front Desk with a supported drawer pedestal. Size: 72""x42"" 3 Week Lead Time. Shown in Royal Mahogany","2024-10-25","high","desks(25: handle-exact:desk,anchor:'bow front'); pedestal-drawers-storage(12: anchor:'pedestal',tokens:pedestal); storage(10: anchor:'pedestal')","desks","pedestal-drawers-storage","storage","Brant Business Interiors","","","","","","","","",""
"9924907008313","concorde-high-back-24hr-executive-synchro-tilter-2424","Concorde high back 24HR executive synchro-tilter (2424) — 2424","https://admin.shopify.com/store/office-central-online/products/9924907008313","https://brantbusinessinteriors.com/products/concorde-high-back-24hr-executive-synchro-tilter-2424","Global Furniture Group","","oecm-eligible","active","1","1920.76","1920.76","https://cdn.shopify.com/s/files/1/0859/0413/0361/files/office-central-brant-business-interiors-default-title-concorde-high-back-24hr-executive-synchro-tilter-2424-43176519270713.png?v=1759098266","Concorde provides unique push-button control from the arm of the chair. With the click of a button the seat floats free; press again and it locks firmly in the desired seating position. The presidential model is the ultimate executive chair, with a supportive and enhanced wider seat, a tall back and contrasting stitching. Many workplaces operate around the clock and this is where the 24HR model th","2025-07-14","high","task-chairs(20: anchor:'tilter',anchor:'synchro'); ergonomic-products(20: anchor:'tilter',anchor:'synchro'); executive-seating(14: anchor:'executive chair',tokens:executive,seating)","task-chairs","ergonomic-products","executive-seating","Global Furniture Group","","","","","","","","",""
"9763429646649","credenza-lflf-1","Credenza lflf","https://admin.shopify.com/store/office-central-online/products/9763429646649","https://brantbusinessinteriors.com/products/credenza-lflf-1","Brant Business Interiors","","oecm-eligible","active","1","1399.99","1399.99","https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Credenza-LFLF-Business-Interiors-16763847.png?v=1750128081","Credenza 72"" Wide x 22"" Deep x 29"" High 4 Drawer Lateral File Full Suspension Glides","2025-01-20","high","credenzas(27: handle-exact:credenza,anchor:'credenza'); lateral-file-cabinets-storage(14: anchor:'lateral file',tokens:file,lateral); storage(10: anchor:'credenza')","credenzas","lateral-file-cabinets-storage","storage","Brant Business Interiors","","","","","","","","",""
