Handle,Product_ID,Image_Position,Shopify_Image_ID,Shopify_CDN_URL,Alt_Text,FAL_Source_URL,Source_Hero_URL,Live_Pos1_URL,Status
freefit-benching-height-adjustable-176w-x-62-5d-ffhab506-2,9674653499705,2,,,"FreeFit™ Benching Height Adjustable 176""W x 62.5""D (FFHAB506) - Studio white background [AI office context]",https://v3b.fal.media/files/b/0a9822fc/7ItKLOk6YbEfzsq6Q_8Tm_0e353f2806554058ae633cecc0058f55.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/FreeFitTM-Benching-Height-Adjustable-176_W-x-62.5_D-_FFHAB506_-Business-Interiors-16711425.png?v=1750116919,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/FreeFitTM-Benching-Height-Adjustable-176_W-x-62.5_D-_FFHAB506_-Business-Interiors-16711425.png?v=1750116919,DRY_RUN
freefit-benching-height-adjustable-176w-x-62-5d-ffhab506-2,9674653499705,3,,,"FreeFit™ Benching Height Adjustable 176""W x 62.5""D (FFHAB506) - Office context A [AI office context]",https://v3b.fal.media/files/b/0a9822fd/0ZLbyXoAsIOG-HhAEu-GR_78261cdd39b140b58b1fa8972501c0e5.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/FreeFitTM-Benching-Height-Adjustable-176_W-x-62.5_D-_FFHAB506_-Business-Interiors-16711425.png?v=1750116919,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/FreeFitTM-Benching-Height-Adjustable-176_W-x-62.5_D-_FFHAB506_-Business-Interiors-16711425.png?v=1750116919,DRY_RUN
zira-conference-table-9-sizes,9103414755641,2,,,Zira Conference Table - 9 Sizes - Studio white background [AI office context],https://v3b.fal.media/files/b/0a9822ff/QMxAriVKLSlBQvsAeP6vJ_7a98e10ee115421cbbfa27493e71b60e.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Zira-Conference-Table-9-Sizes-Business-Interiors-16691380.jpg?v=1750112780,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Zira-Conference-Table-9-Sizes-Business-Interiors-16691380.jpg?v=1750112780,DRY_RUN
zira-conference-table-9-sizes,9103414755641,3,,,Zira Conference Table - 9 Sizes - Office context A [AI office context],https://v3b.fal.media/files/b/0a982300/xoaGVA-UQAZeQyypqaN5y_9e0e54bfbe48445d9ed85c1d864d052d.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Zira-Conference-Table-9-Sizes-Business-Interiors-16691380.jpg?v=1750112780,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Zira-Conference-Table-9-Sizes-Business-Interiors-16691380.jpg?v=1750112780,DRY_RUN
zira-conference-table-9-sizes,9103414755641,4,,,Zira Conference Table - 9 Sizes - Office context B [AI office context],https://v3b.fal.media/files/b/0a982302/SEVn2IWZ0FUKSjl4q7ikX_dacf586cce8848c5ae29ea8a9a7a37c2.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Zira-Conference-Table-9-Sizes-Business-Interiors-16691380.jpg?v=1750112780,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Zira-Conference-Table-9-Sizes-Business-Interiors-16691380.jpg?v=1750112780,DRY_RUN
halifax-typical-9,9817158025529,2,,,Halifax Typical 9 - Studio white background [AI office context],https://v3b.fal.media/files/b/0a982303/_517OBL_bJZhk81pLWQVw_20f36e49b3f2469f914b5f34854ebed2.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/The-Halifax-Collection-Business-Interiors-16786845.png?v=1750132762,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/The-Halifax-Collection-Business-Interiors-16786845.png?v=1750132762,DRY_RUN
halifax-typical-9,9817158025529,3,,,Halifax Typical 9 - Office context A [AI office context],https://v3b.fal.media/files/b/0a982304/5PZ5bPxGsBiU0CEhTsdLG_0ae667cff7444a0a9063259bbee7551e.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/The-Halifax-Collection-Business-Interiors-16786845.png?v=1750132762,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/The-Halifax-Collection-Business-Interiors-16786845.png?v=1750132762,DRY_RUN
halifax-typical-9,9817158025529,4,,,Halifax Typical 9 - Office context B [AI office context],https://v3b.fal.media/files/b/0a982305/BhXiGyxl5Bsllunuj1yoE_d9deec526a034ef795562be6ea2f793c.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/The-Halifax-Collection-Business-Interiors-16786845.png?v=1750132762,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/The-Halifax-Collection-Business-Interiors-16786845.png?v=1750132762,DRY_RUN
halifax-series,9822314070329,2,,,Halifax Series - Studio white background [AI office context],https://v3b.fal.media/files/b/0a98230a/yQx7UCfQ1ksvXCQx0yWgh_5acaa42b893d44fda189f36f43707bb2.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Halifax-Series-Business-Interiors-16788681.png?v=1750133174,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Halifax-Series-Business-Interiors-16788681.png?v=1750133174,DRY_RUN
halifax-series,9822314070329,3,,,Halifax Series - Office context A [AI office context],https://v3b.fal.media/files/b/0a98230b/pv5HpJKzadG_T9B9YL9vw_d7f39a3d5a7f41aaa8a8664409eeb220.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Halifax-Series-Business-Interiors-16788681.png?v=1750133174,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Halifax-Series-Business-Interiors-16788681.png?v=1750133174,DRY_RUN
