handle,title,action,id,disjunctive
all-seating,All Seating,existing,526906327353,False
all-desks,All Desks & Workstations,existing,526906360121,False
all-storage,All Storage & Filing,existing,526906392889,False
all-tables,All Tables,existing,526906425657,False
all-boardroom,All Boardroom & Conference,existing,526906491193,False
all-ergonomic,All Ergonomic Products,existing,526906523961,False
all-panels,All Panels & Dividers,existing,526906556729,False
all-accessories,All Accessories,existing,526906589497,False
all-quiet-spaces,All Quiet Spaces,existing,526906622265,False
all-business-furniture,All Business Furniture,existing,526906655033,True
keilhauer,Keilhauer,existing,526906753337,False
global-teknion,Global / Teknion,existing,526906786105,False
ergocentric,ergoCentric,existing,526906818873,False
oecm-eligible,OECM-Eligible Products,existing,526906687801,False
otg-chairs,OTG Seating,created,527496642873,False
otg-desks,OTG Desks & Workstations,created,527496675641,False
otg-storage,OTG Storage & Filing,created,527496708409,False
otg-tables,OTG Tables,created,527496741177,False
otg-accessories,OTG Accessories,created,527496773945,False
otg-lounge,OTG Lounge Seating,created,527496806713,False
otg-panels,OTG Panels & Dividers,created,527496839481,False
heartwood-desks,Heartwood Desks & Workstations,created,527496872249,False
heartwood-storage,Heartwood Storage & Casegoods,created,527496905017,False
heartwood-tables,Heartwood Tables,created,527496937785,False
obusforme-chairs,ObusForme Seating,created,527496970553,False
gfg-chairs,Global Seating,created,527497003321,False
gfg-tables,Global Tables,created,527497036089,False
gfg-desks,Global Desks & Workstations,created,527497068857,False
gfg-storage,Global Storage & Filing,created,527497101625,False
