Handle,Product_ID,Image_Position,Shopify_Image_ID,Shopify_CDN_URL,Alt_Text,FAL_Source_URL,Source_Hero_URL,Live_Pos1_URL,Status
boat-shaped-conference-table,9103187345721,2,,,Boat Shaped Conference Table - Studio white background [AI office context],https://v3b.fal.media/files/b/0a98487e/ymt-8Qnf8PpZPLhFfb-qD_33e2db2ac1ae4101aa9dc926d57ddcd1.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Boat-Shaped-Conference-Table-Business-Interiors-16688871.png?v=1750112230,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Boat-Shaped-Conference-Table-Business-Interiors-16688871.png?v=1750112230,DRY_RUN
boat-shaped-conference-table,9103187345721,3,,,Boat Shaped Conference Table - Office context A [AI office context],https://v3b.fal.media/files/b/0a98487f/oOkFIgD2q4qUs9_0LfScm_4efabea5e95f4fe4839e32a75490455d.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Boat-Shaped-Conference-Table-Business-Interiors-16688871.png?v=1750112230,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Boat-Shaped-Conference-Table-Business-Interiors-16688871.png?v=1750112230,DRY_RUN
boat-shaped-conference-table,9103187345721,4,,,Boat Shaped Conference Table - Office context B [AI office context],https://v3b.fal.media/files/b/0a984880/BoR6w9h-HwXUXhb_SZcTi_9b2ac561e81746509b811dd8f291ac84.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Boat-Shaped-Conference-Table-Business-Interiors-16688871.png?v=1750112230,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Boat-Shaped-Conference-Table-Business-Interiors-16688871.png?v=1750112230,DRY_RUN
cabinet-file-file-right-wardrobe-inv-6524cffwr-24,9858778431801,2,,,Cabinet / File / File / Right Wardrobe INV-6524CFFWR-24 - Studio white background [AI office context],https://v3b.fal.media/files/b/0a984881/4rxacQagU2AFtq1NhAMpJ_6cc5e99cf8b6423d8c14fb0344de1632.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-default-title-cabinet-file-file-right-wardrobe-inv-6524cffwr-24-42749818831161.png?v=1759098239,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-default-title-cabinet-file-file-right-wardrobe-inv-6524cffwr-24-42749818831161.png?v=1759098239,DRY_RUN
ceiling-grids-sound-acoustic-dampeners-1,9832610988345,2,,,Ceiling Grids Sound Acoustic Dampeners - Studio white background [AI office context],https://v3b.fal.media/files/b/0a984885/ESRVyMLbhdGarozmsoMIE_d2d8c89f4046420097aa9de0606844aa.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Ceiling-Grids-Sound-Acoustic-Dampeners-Business-Interiors-16793479.jpg?v=1750134001,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Ceiling-Grids-Sound-Acoustic-Dampeners-Business-Interiors-16793479.jpg?v=1750134001,DRY_RUN
ceiling-grids-sound-acoustic-dampeners-copy,9832616821049,2,,,Ceiling Grids Sound Acoustic Dampeners - Studio white background [AI office context],https://v3b.fal.media/files/b/0a98488b/a8Rx2JIaW3GObVYLFtoxs_53d9da5067654c1689697529e376d845.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Ceiling-Grids-Sound-Acoustic-Dampeners-Business-Interiors-16793762.jpg?v=1750134067,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Ceiling-Grids-Sound-Acoustic-Dampeners-Business-Interiors-16793762.jpg?v=1750134067,DRY_RUN
felt-acoustic-room-dividers,9832199749945,2,,,Felt Acoustic Room Dividers - Studio white background [AI office context],https://v3b.fal.media/files/b/0a984835/jSuHffeHnhbkfjsjDvww1_586823697f204d48a6cfd07d31077b3d.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-sound-dampeners-47-75-x47-bamboo-t-bar-cable-gripper-felt-acoustic-room-dividers-42571579883833.png?v=1759098217,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-sound-dampeners-47-75-x47-bamboo-t-bar-cable-gripper-felt-acoustic-room-dividers-42571579883833.png?v=1759098217,DRY_RUN
felt-acoustic-wall-tiles,9832223867193,2,,,Felt Acoustic Wall Tiles - Studio white background [AI office context],https://v3b.fal.media/files/b/0a984890/hNBCzbNOzWo6U8CSJIav7_c070d3dc377040b5a909ef52cf993574.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-sound-dampeners-wall-tiles-circles-8-box-11-75-x11-75-felt-acoustic-wall-tiles-42571606393145.png?v=1759098216,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-sound-dampeners-wall-tiles-circles-8-box-11-75-x11-75-felt-acoustic-wall-tiles-42571606393145.png?v=1759098216,DRY_RUN
felt-acoustic-wall-tiles,9832223867193,3,,,Felt Acoustic Wall Tiles - Office context A [AI office context],https://v3b.fal.media/files/b/0a984893/6CXxS4WMcQm1DCpzGGdC5_8de9ecc24f4f48228801fb6ab0e39dd6.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-sound-dampeners-wall-tiles-circles-8-box-11-75-x11-75-felt-acoustic-wall-tiles-42571606393145.png?v=1759098216,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-sound-dampeners-wall-tiles-circles-8-box-11-75-x11-75-felt-acoustic-wall-tiles-42571606393145.png?v=1759098216,DRY_RUN
felt-acoustic-wall-tiles,9832223867193,4,,,Felt Acoustic Wall Tiles - Office context B [AI office context],https://v3b.fal.media/files/b/0a984894/lkjfcvCik5oEhbfPP6vVw_4585533b41154a3eab0bacd5bbd9c74a.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-sound-dampeners-wall-tiles-circles-8-box-11-75-x11-75-felt-acoustic-wall-tiles-42571606393145.png?v=1759098216,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-sound-dampeners-wall-tiles-circles-8-box-11-75-x11-75-felt-acoustic-wall-tiles-42571606393145.png?v=1759098216,DRY_RUN
