handle,product_id,title,status,current_vendor,proposed_vendor,confidence,matched_pattern,will_change,is_hero_100
global-recliner-primacare-gc3608mrc,gid://shopify/Product/9692001993017,Global Recliner Primacare GC3608MRC,ARCHIVED,Business Interiors,Global Furniture Group,high,\bGlobal\b,yes,yes
obusforme-comfort-high-back-chair-fabric-1240-3,gid://shopify/Product/9039326609721,ObusForme Comfort high back chair — 1240-3,ACTIVE,Business Interiors,ObusForme,high,\bObusForme\b,yes,yes
offices-to-go-newland-l-shaped-suite-nlp420,gid://shopify/Product/9855824068921,Offices to Go ® newland™ l-shaped suite — NLP420,ACTIVE,Business Interiors,Offices to Go,high,\bOffices to Go\b,yes,yes
ashton-high-back-tilter,gid://shopify/Product/9664281542969,Ashton | high back tilter,ACTIVE,Business Interiors,Global Furniture Group,medium,\bAshton\b,yes,yes
ergo-boss-high-back-multi-tilter-chair-1,gid://shopify/Product/9666750906681,Ergo boss high back multi-tilter chair,ACTIVE,Business Interiors,Global Furniture Group,medium,\bErgo\s*Boss\b,yes,yes
format-high-back-synchro-tilter-with-adjustable-headrest-chair-mvl3192,gid://shopify/Product/9666760606009,Format | high back synchro-tilter with adjustable headrest chair — MVL3192,ACTIVE,Business Interiors,Global Furniture Group,medium,\bFormat\b,yes,yes
format-high-mesh-back-synchro-tilter,gid://shopify/Product/9666761457977,Format | high mesh back synchro-tilter,ACTIVE,Business Interiors,Global Furniture Group,medium,\bFormat\b,yes,yes
ibex-mesh-seat-back-multi-tilter-1,gid://shopify/Product/9664290455865,Ibex | mesh seat & back multi-tilter,ACTIVE,Business Interiors,Global Furniture Group,medium,\bIbex\b,yes,yes
ibex-upholstered-seat-mesh-back-multi-tilter-1,gid://shopify/Product/9664289014073,Ibex | upholstered seat & mesh back multi-tilter — MVL2803,ACTIVE,Business Interiors,Global Furniture Group,medium,\bIbex\b,yes,yes
newland-box-file-mobile-pedestal,gid://shopify/Product/9103190753593,Newland box/file mobile pedestal — NLMP23BF,ACTIVE,Business Interiors,Offices to Go,medium,\bNewland\b,yes,yes
overtime-350-high-back-heavy-duty-multi-tilter,gid://shopify/Product/9664325615929,Overtime 350 | high back heavy duty multi-tilter,ACTIVE,Business Interiors,Global Furniture Group,medium,\bOvertime\b,yes,yes
overtime-350-high-back-heavy-duty-multi-tilter-mvl13040,gid://shopify/Product/9667800334649,Overtime 350 | high back heavy duty multi-tilter — MVL13040,ACTIVE,Business Interiors,Global Furniture Group,medium,\bOvertime\b,yes,yes
overtime-high-back-multi-tilter-chair-mvl2756,gid://shopify/Product/9666757919033,Overtime | high back multi-tilter chair — MVL2756,ACTIVE,Business Interiors,Global Furniture Group,medium,\bOvertime\b,yes,yes
six-31-medium-back-multi-tilter-glbotg11631b,gid://shopify/Product/9666756935993,Six 31 | medium back multi-tilter — GLBOTG11631B,ACTIVE,Business Interiors,Global Furniture Group,medium,\bSix\s*31\b,yes,yes
u-shape-height-adjustable-desk-suite-zira,gid://shopify/Product/9688255365433,U-shape height adjustable desk suite zira,ACTIVE,Business Interiors,Global Furniture Group,medium,\bZira\b,yes,yes
vion-mesh-high-back-chair-1,gid://shopify/Product/9499576009017,Vion mesh high back chair,ACTIVE,Business Interiors,Global Furniture Group,medium,\bVion\b,yes,yes
2600-series-4-drawer-vertical-file-legal-26-451,gid://shopify/Product/10095599190329,"2600 series 4 drawer vertical file, legal (26-451) — 4 drawer",ACTIVE,Office Central & Brant Business Interiors,Brant Business Interiors,fallback,,yes,yes
4-drawer-letter-width-vertical-file,gid://shopify/Product/9727969984825,4 drawer letter width vertical file — 4 drawer,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
4-person-workstation,gid://shopify/Product/9860596138297,4 person workstation,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
6-person-workstation-chairs-bridges,gid://shopify/Product/9688261001529,6 person workstation & chairs bridges,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
aeramax-air-purifier-true-hepa-plasmatrue-1,gid://shopify/Product/9712563487033,"Aeramax air purifier - true hepa, plasmatrue",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
aktivity-environ-table,gid://shopify/Product/9824093798713,Aktivity Environ table,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,yes
aktivity-puddle,gid://shopify/Product/9769301311801,Aktivity Puddle,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,yes
anti-fatigue-wellness-mat-36-x-24-5,gid://shopify/Product/9103326871865,"Anti-fatigue wellness mat — 36"" x 24""",ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
arlo-lounge-swivel-task-chair-1,gid://shopify/Product/9759454560569,Arlo | lounge swivel task chair,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
array-stand-as-air-purifier-1,gid://shopify/Product/9712563224889,Array stand as air purifier,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
ashmont-medium-back-guest-chair-mvl2782,gid://shopify/Product/9782581297465,Ashmont | medium back guest chair — MVL2782,ACTIVE,Business Interiors,Brant Business Interiors,fallback,,yes,yes
auditorium-lecture-hall-seating,gid://shopify/Product/9699889086777,Auditorium / Lecture Hall Seating,ARCHIVED,Business Interiors,Brant Business Interiors,fallback,,yes,yes
