Handle,Product_ID,Image_Position,Shopify_Image_ID,Shopify_CDN_URL,Alt_Text,FAL_Source_URL,Source_Hero_URL,Live_Pos1_URL,Status
ceiling-grids-sound-acoustic-dampeners-orb,9832623735097,2,53500089467193,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/wedgcIJqUH-xdxRO91Qfs_625a510204ee4b8cb56628af3abd1b5a.jpg?v=1777641859,Ceiling Grids Sound Acoustic Dampeners ORB - Studio white background [AI office context],https://v3b.fal.media/files/b/0a9869d0/wedgcIJqUH-xdxRO91Qfs_625a510204ee4b8cb56628af3abd1b5a.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-16-x16-ceiling-grids-sound-acoustic-dampeners-orb-42575583215929.jpg?v=1759098231,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/business-interiors-16-x16-ceiling-grids-sound-acoustic-dampeners-orb-42575583215929.jpg?v=1759098231,PUSHED
desk-top-divider-divide,9693141827897,2,53500089598265,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/9IALI-chMVq8qWOOQJhBt_c068a474b381422aa6376c74408d10bb.jpg?v=1777641863,Desk Top Divider DIVIDE - Studio white background [AI office context],https://v3b.fal.media/files/b/0a9869bd/9IALI-chMVq8qWOOQJhBt_c068a474b381422aa6376c74408d10bb.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Desk-Top-Divider-DIVIDE-Business-Interiors-16731440.jpg?v=1750121211,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Desk-Top-Divider-DIVIDE-Business-Interiors-16731440.jpg?v=1750121211,PUSHED
desk-top-divider-divide,9693141827897,3,53500089631033,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/0lj_6jK6qoHnHwVYVnF_F_b05ede1a06ab4dd9a1308f6cc33e63a2.jpg?v=1777641866,Desk Top Divider DIVIDE - Office context A [AI office context],https://v3b.fal.media/files/b/0a9869be/0lj_6jK6qoHnHwVYVnF_F_b05ede1a06ab4dd9a1308f6cc33e63a2.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Desk-Top-Divider-DIVIDE-Business-Interiors-16731440.jpg?v=1750121211,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Desk-Top-Divider-DIVIDE-Business-Interiors-16731440.jpg?v=1750121211,PUSHED
electric-dual-monitor-height-adjustable-standing-desk-workstation-dc450,9103473934649,2,53500089991481,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/AlV0H4VhC7Icfr_5ed4T__f90ff114ab80430991e82917bbaa32f9.jpg?v=1777641869,Electric Dual Monitor Height Adjustable Standing Desk Workstation DC450 - Studio white background [AI office context],https://v3b.fal.media/files/b/0a9869cc/AlV0H4VhC7Icfr_5ed4T__f90ff114ab80430991e82917bbaa32f9.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Electric-Dual-Monitor-Height-Adjustable-Standing-Desk-Workstation-DC450-Business-Interiors-16692480.jpg?v=1750113078,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Electric-Dual-Monitor-Height-Adjustable-Standing-Desk-Workstation-DC450-Business-Interiors-16692480.jpg?v=1750113078,PUSHED
electric-dual-monitor-height-adjustable-standing-desk-workstation-dc450,9103473934649,3,53500090024249,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/6l-0C3BfhUlHs74xAMI3y_94c47b76d8f14405b5575952358fd95f.jpg?v=1777641871,Electric Dual Monitor Height Adjustable Standing Desk Workstation DC450 - Office context A [AI office context],https://v3b.fal.media/files/b/0a9869ce/6l-0C3BfhUlHs74xAMI3y_94c47b76d8f14405b5575952358fd95f.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Electric-Dual-Monitor-Height-Adjustable-Standing-Desk-Workstation-DC450-Business-Interiors-16692480.jpg?v=1750113078,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Electric-Dual-Monitor-Height-Adjustable-Standing-Desk-Workstation-DC450-Business-Interiors-16692480.jpg?v=1750113078,PUSHED
electric-dual-monitor-height-adjustable-standing-desk-workstation-dc450,9103473934649,4,53500090057017,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/oiDkC0R9uHYDqzeSPFELx_4f9a6fd7d4e94c68abca1db65101aecc.jpg?v=1777641874,Electric Dual Monitor Height Adjustable Standing Desk Workstation DC450 - Office context B [AI office context],https://v3b.fal.media/files/b/0a9869cf/oiDkC0R9uHYDqzeSPFELx_4f9a6fd7d4e94c68abca1db65101aecc.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Electric-Dual-Monitor-Height-Adjustable-Standing-Desk-Workstation-DC450-Business-Interiors-16692480.jpg?v=1750113078,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Electric-Dual-Monitor-Height-Adjustable-Standing-Desk-Workstation-DC450-Business-Interiors-16692480.jpg?v=1750113078,PUSHED
global-accord-back-knee-tilter-chair-1,9639652557113,2,53500090188089,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/T0yp7rJ70wx4LZdlV7sjm_b7c9f204790549febbf1f057ec5ea717.jpg?v=1777641878,Global Accord   Back Knee Tilter Chair - Studio white background [AI office context],https://v3b.fal.media/files/b/0a9869b7/T0yp7rJ70wx4LZdlV7sjm_b7c9f204790549febbf1f057ec5ea717.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Global-Accord-Back-Knee-Tilter-Chair-Business-Interiors-16696635.jpg?v=1750114030,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Global-Accord-Back-Knee-Tilter-Chair-Business-Interiors-16696635.jpg?v=1750114030,PUSHED
global-accord-back-knee-tilter-chair-1,9639652557113,3,53500090220857,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/guNscLEZUswmFIdRnU-zI_e6b88e61afc345b6a2f07785a0047401.jpg?v=1777641880,Global Accord   Back Knee Tilter Chair - Office context A [AI office context],https://v3b.fal.media/files/b/0a9869bb/guNscLEZUswmFIdRnU-zI_e6b88e61afc345b6a2f07785a0047401.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Global-Accord-Back-Knee-Tilter-Chair-Business-Interiors-16696635.jpg?v=1750114030,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Global-Accord-Back-Knee-Tilter-Chair-Business-Interiors-16696635.jpg?v=1750114030,PUSHED
global-accord-back-knee-tilter-chair-1,9639652557113,4,53500090286393,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/153_hYD5ryXvCTY25rrHS_07c0fb061384483bb674e9cd40142dfe.jpg?v=1777641883,Global Accord   Back Knee Tilter Chair - Office context B [AI office context],https://v3b.fal.media/files/b/0a9869bc/153_hYD5ryXvCTY25rrHS_07c0fb061384483bb674e9cd40142dfe.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Global-Accord-Back-Knee-Tilter-Chair-Business-Interiors-16696635.jpg?v=1750114030,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Global-Accord-Back-Knee-Tilter-Chair-Business-Interiors-16696635.jpg?v=1750114030,PUSHED
height-adjustable-table-5-sizes,9687458873657,2,53500090384697,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Ys0LrKaBlyet_QC54T4QI_9f7995e23bef4a6fa12b1e15b841833a.jpg?v=1777641886,Electric Height Adjustable Sit to Stand Desks - Studio white background [AI office context],https://v3b.fal.media/files/b/0a986999/Ys0LrKaBlyet_QC54T4QI_9f7995e23bef4a6fa12b1e15b841833a.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Electric-Height-Adjustable-Sit-to-Stand-Desks-Business-Interiors-16722765.png?v=1750119363,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Electric-Height-Adjustable-Sit-to-Stand-Desks-Business-Interiors-16722765.png?v=1750119363,PUSHED
