handle,title,action,id,disjunctive
all-seating,All Seating,existing,526906327353,False
all-desks,All Desks & Workstations,existing,526906360121,False
all-storage,All Storage & Filing,existing,526906392889,False
all-tables,All Tables,existing,526906425657,False
all-boardroom,All Boardroom & Conference,existing,526906491193,False
all-ergonomic,All Ergonomic Products,existing,526906523961,False
all-panels,All Panels & Dividers,existing,526906556729,False
all-accessories,All Accessories,existing,526906589497,False
all-quiet-spaces,All Quiet Spaces,existing,526906622265,False
all-business-furniture,All Business Furniture,existing,526906655033,True
keilhauer,Keilhauer,existing,526906753337,False
global-teknion,Global / Teknion,existing,526906786105,False
ergocentric,ergoCentric,existing,526906818873,False
oecm-eligible,OECM-Eligible Products,existing,526906687801,False
otg-chairs,OTG Seating,would_create,,False
otg-desks,OTG Desks & Workstations,would_create,,False
otg-storage,OTG Storage & Filing,would_create,,False
otg-tables,OTG Tables,would_create,,False
otg-accessories,OTG Accessories,would_create,,False
otg-lounge,OTG Lounge Seating,would_create,,False
otg-panels,OTG Panels & Dividers,would_create,,False
heartwood-desks,Heartwood Desks & Workstations,would_create,,False
heartwood-storage,Heartwood Storage & Casegoods,would_create,,False
heartwood-tables,Heartwood Tables,would_create,,False
obusforme-chairs,ObusForme Seating,would_create,,False
gfg-chairs,Global Seating,would_create,,False
gfg-tables,Global Tables,would_create,,False
gfg-desks,Global Desks & Workstations,would_create,,False
gfg-storage,Global Storage & Filing,would_create,,False
