category,slug,url,http_status,product_count,template_suffix,result,notes
seating,highback-seating,https://brantbusinessinteriors.com/collections/highback-seating,SKIP,46,,PASS,
seating,medium-back-seating,https://brantbusinessinteriors.com/collections/medium-back-seating,SKIP,49,,PASS,
seating,mesh-seating,https://brantbusinessinteriors.com/collections/mesh-seating,SKIP,44,,PASS,
seating,leather-faux-seating,https://brantbusinessinteriors.com/collections/leather-faux-seating,SKIP,32,,PASS,
seating,stools-seating,https://brantbusinessinteriors.com/collections/stools-seating,SKIP,15,,PASS,
seating,lounge-chairs-seating,https://brantbusinessinteriors.com/collections/lounge-chairs-seating,SKIP,16,,PASS,
seating,ottomans,https://brantbusinessinteriors.com/collections/ottomans,SKIP,7,,PASS,
seating,guest-seating,https://brantbusinessinteriors.com/collections/guest-seating,SKIP,39,,PASS,
seating,stacking-seating,https://brantbusinessinteriors.com/collections/stacking-seating,SKIP,16,,PASS,
seating,folding-stacking-chairs-carts,https://brantbusinessinteriors.com/collections/folding-stacking-chairs-carts,SKIP,7,,PASS,
seating,nesting-chairs-chair,https://brantbusinessinteriors.com/collections/nesting-chairs-chair,SKIP,5,,PASS,
seating,24-hour-seating,https://brantbusinessinteriors.com/collections/24-hour-seating,SKIP,4,,PASS,
seating,big-heavy-seating,https://brantbusinessinteriors.com/collections/big-heavy-seating,SKIP,10,,PASS,
seating,cluster-seating,https://brantbusinessinteriors.com/collections/cluster-seating,SKIP,2,,PASS,
seating,industrial-seating,https://brantbusinessinteriors.com/collections/industrial-seating,SKIP,8,,PASS,
seating,gaming,https://brantbusinessinteriors.com/collections/gaming,SKIP,3,,PASS,
desks,u-shape-desks-desks,https://brantbusinessinteriors.com/collections/u-shape-desks-desks,SKIP,16,,PASS,
desks,l-shape-desks-desks,https://brantbusinessinteriors.com/collections/l-shape-desks-desks,SKIP,31,,PASS,
desks,height-adjustable-tables-desks,https://brantbusinessinteriors.com/collections/height-adjustable-tables-desks,SKIP,21,,PASS,
desks,multi-person-workstations-desks,https://brantbusinessinteriors.com/collections/multi-person-workstations-desks,SKIP,9,,PASS,
desks,benching-desks,https://brantbusinessinteriors.com/collections/benching-desks,SKIP,1,,PASS,
desks,table-desks,https://brantbusinessinteriors.com/collections/table-desks,SKIP,6,,PASS,
desks,straight-desks-desks,https://brantbusinessinteriors.com/collections/straight-desks-desks,SKIP,17,,PASS,
desks,reception,https://brantbusinessinteriors.com/collections/reception,SKIP,3,,PASS,
desks,office-suites-desks,https://brantbusinessinteriors.com/collections/office-suites-desks,SKIP,13,,PASS,
storage,lateral-files-storage,https://brantbusinessinteriors.com/collections/lateral-files-storage,SKIP,7,,PASS,
storage,vertical-files,https://brantbusinessinteriors.com/collections/vertical-files,SKIP,6,,PASS,
storage,storage-cabinets-storage,https://brantbusinessinteriors.com/collections/storage-cabinets-storage,SKIP,13,,PASS,
storage,bookcases-storage,https://brantbusinessinteriors.com/collections/bookcases-storage,SKIP,13,,PASS,
storage,hutch,https://brantbusinessinteriors.com/collections/hutch,SKIP,2,,PASS,
storage,lateral-storage-combo-storage,https://brantbusinessinteriors.com/collections/lateral-storage-combo-storage,SKIP,5,,PASS,
storage,end-tab-filing-storage,https://brantbusinessinteriors.com/collections/end-tab-filing-storage,SKIP,1,,PASS,
storage,pedestal-drawers-storage,https://brantbusinessinteriors.com/collections/pedestal-drawers-storage,SKIP,9,,PASS,
storage,fire-resistant-safes-storage,https://brantbusinessinteriors.com/collections/fire-resistant-safes-storage,SKIP,11,,PASS,
storage,metal-shelving,https://brantbusinessinteriors.com/collections/metal-shelving,SKIP,0,,WARN,empty-collection
storage,lockers,https://brantbusinessinteriors.com/collections/lockers,SKIP,6,,PASS,
storage,fire-resistant-file-cabinets-storage,https://brantbusinessinteriors.com/collections/fire-resistant-file-cabinets-storage,SKIP,6,,PASS,
storage,wardrobe-storage,https://brantbusinessinteriors.com/collections/wardrobe-storage,SKIP,6,,PASS,
storage,credenzas,https://brantbusinessinteriors.com/collections/credenzas,SKIP,9,,PASS,
tables,meeting-tables,https://brantbusinessinteriors.com/collections/meeting-tables,SKIP,12,,PASS,
tables,coffee-tables,https://brantbusinessinteriors.com/collections/coffee-tables,SKIP,5,,PASS,
tables,training-flip-top-tables,https://brantbusinessinteriors.com/collections/training-flip-top-tables,SKIP,5,,PASS,
tables,end-tables-tables,https://brantbusinessinteriors.com/collections/end-tables-tables,SKIP,5,,PASS,
tables,drafting-tables,https://brantbusinessinteriors.com/collections/drafting-tables,SKIP,7,,PASS,
tables,round-square-tables,https://brantbusinessinteriors.com/collections/round-square-tables,SKIP,9,,PASS,
tables,cafeteria-kitchen-tables,https://brantbusinessinteriors.com/collections/cafeteria-kitchen-tables,SKIP,4,,PASS,
tables,bar-height-tables,https://brantbusinessinteriors.com/collections/bar-height-tables,SKIP,3,,PASS,
tables,folding-tables-tables,https://brantbusinessinteriors.com/collections/folding-tables-tables,SKIP,8,,PASS,
tables,table-bases,https://brantbusinessinteriors.com/collections/table-bases,SKIP,5,,PASS,
boardroom,boardroom-conference-meeting,https://brantbusinessinteriors.com/collections/boardroom-conference-meeting,SKIP,11,,PASS,
boardroom,lecterns-podiums,https://brantbusinessinteriors.com/collections/lecterns-podiums,SKIP,5,,PASS,
boardroom,audio-visual-equipment,https://brantbusinessinteriors.com/collections/audio-visual-equipment,SKIP,0,,WARN,empty-collection
ergonomic-products,height-adjustable-tables,https://brantbusinessinteriors.com/collections/height-adjustable-tables,SKIP,19,,PASS,
ergonomic-products,monitor-arms,https://brantbusinessinteriors.com/collections/monitor-arms,SKIP,8,,PASS,
ergonomic-products,keyboard-trays,https://brantbusinessinteriors.com/collections/keyboard-trays,SKIP,6,,PASS,
ergonomic-products,desktop-sit-stand,https://brantbusinessinteriors.com/collections/desktop-sit-stand,SKIP,10,,PASS,
panels-room-dividers,room-dividers-panels-dividers,https://brantbusinessinteriors.com/collections/room-dividers-panels-dividers,SKIP,13,,PASS,
panels-room-dividers,desk-top-dividers,https://brantbusinessinteriors.com/collections/desk-top-dividers,SKIP,4,,PASS,
panels-room-dividers,modesty-panels,https://brantbusinessinteriors.com/collections/modesty-panels,SKIP,2,,PASS,
accessories,chairmats-accessories,https://brantbusinessinteriors.com/collections/chairmats-accessories,SKIP,5,,PASS,
accessories,power-modules-accessories,https://brantbusinessinteriors.com/collections/power-modules-accessories,SKIP,10,,PASS,
accessories,coat-racks-accessories,https://brantbusinessinteriors.com/collections/coat-racks-accessories,SKIP,2,,PASS,
accessories,lighting,https://brantbusinessinteriors.com/collections/lighting,SKIP,4,,PASS,
quiet-spaces,telephone-booths,https://brantbusinessinteriors.com/collections/telephone-booths,SKIP,1,,PASS,
quiet-spaces,walls,https://brantbusinessinteriors.com/collections/walls,SKIP,5,,PASS,
quiet-spaces,sound-dampeners,https://brantbusinessinteriors.com/collections/sound-dampeners,SKIP,8,,PASS,
quiet-spaces,av-stand,https://brantbusinessinteriors.com/collections/av-stand,SKIP,1,,PASS,
quiet-spaces,planters,https://brantbusinessinteriors.com/collections/planters,SKIP,4,,PASS,
