handle,product_id,position,scene,filename,source_hero_url,fal_url,prompt,generation_id,status,timestamp
rebound-armchair-polypropylene-seat-1,9693093790009,2,studio-white,rebound-armchair-polypropylene-seat-1__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/ReboundTM-Armchair_-Polypropylene-Seat-Business-Interiors-16730565.jpg?v=1750121011,https://v3b.fal.media/files/b/0a98e61a/vaFKpWc_R1ZQe1LMYN27-_976ad3744c7944179602a7930d677c77.jpg,"The exact Rebound™ armchair, polypropylene seat from the reference image on a pure white seamless background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects, no props. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260504-160905
reception-desk-84-x-84-1,9098379854137,2,studio-white,reception-desk-84-x-84-1__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Reception-Desk-84_-x-84_-Business-Interiors-16684521.jpg?v=1750111251,https://v3b.fal.media/files/b/0a98e61d/ulpq8EfFzoHHquud4MJpn_1d66229469544d159e083bf78830ee0f.jpg,"The exact Reception desk — 84"" x 84"" from the reference image on a pure white seamless background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects, no props. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260504-160905
recycled-plastic-picnic-tables,9676931498297,2,studio-white,recycled-plastic-picnic-tables__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Recycled-Plastic-Picnic-Tables-Business-Interiors-16714148.png?v=1750117475,https://v3b.fal.media/files/b/0a98e622/f8n7YN2GuGY8UX-IXOVtb_e0f1c8c8573f411d9dddc8b9042ab5ab.jpg,"The exact Recycled plastic picnic tables from the reference image on a pure white seamless background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects, no props. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260504-160905
regalia-task-mesh-chair-otg10892,9706986733881,2,studio-white,regalia-task-mesh-chair-otg10892__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Regalia-Task-Mesh-Chair-OTG10892-Business-Interiors-16736428.jpg?v=1750122311,https://v3b.fal.media/files/b/0a98e624/L84Hfrwx8Eq57rUmyU6Q2_3dc5f94803fd45ecab05fe709f6be450.jpg,"The exact Regalia task mesh chair — OTG10892 from the reference image on a pure white seamless background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects, no props. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260504-160905
robust-high-back-multi-tilter-chair-2526,9905517953337,2,studio-white,robust-high-back-multi-tilter-chair-2526__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/office-central-brant-business-interiors-default-title-robust-high-back-multi-tilter-chair-2526-43033490587961.png?v=1759098262,https://v3b.fal.media/files/b/0a98e626/j1xOTfvhgqdLAQ062J7Gy_c2112afbe34b4b15bcf6a52246c016d4.jpg,"The exact Robust high back multi-tilter chair — 2526 from the reference image on a pure white seamless background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects, no props. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260504-160905
robust-high-back-multi-tilter-chair-500lb-weight-capacity-glb74475,9666742124857,2,studio-white,robust-high-back-multi-tilter-chair-500lb-weight-capacity-glb74475__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Robust-High-Back-Multi-Tilter-Chair-500lb-Weight-Capacity-GLB74475-Business-Interiors-16701582.png?v=1750115099,https://v3b.fal.media/files/b/0a98e62b/VMcxbH-oaMcHmxjj2sN0V_c6082a7950424acfaf3d6bfbd5ed4690.jpg,"The exact Global Furniture Group Volcanic Ash (main fabric — two-tone with black SL20 Asphalt trim border) Robust high back multi- from the reference image on a pure white seamless background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects, no props. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260504-160905
roma-1900-nesting-chair,9719788732729,2,studio-white,roma-1900-nesting-chair__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Roma-1900-Nesting-Chair-Business-Interiors-16741115.png?v=1750123300,https://v3b.fal.media/files/b/0a98e62d/DqqldrpaUSJUSf-TxoZqz_cd5db0893cff4cb9be7da2035a4406e5.jpg,"The exact Global Furniture Group Black polypropylene back Roma 1900 nesting chair from the reference image on a pure white seamless background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects, no props. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260504-160905
round-table-29-high,9680085844281,2,studio-white,round-table-29-high__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Round-Table-29_-High-Business-Interiors-16714371.png?v=1750117518,https://v3b.fal.media/files/b/0a98e632/VaGq3rA9jEL-HqWHHa3gG_e7c1c98ea9a84ef7b576d089a66a6a0f.jpg,"The exact Round table 29"" high — 29"" from the reference image on a pure white seamless background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects, no props. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260504-160905
round-table-29-high-8-colours,10128782164281,2,studio-white,round-table-29-high-8-colours__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot2026-02-25122811.png?v=1772040513,https://v3b.fal.media/files/b/0a98e634/6XdYZYXwvLiiNAoN5Zxxk_74ba2ba6b9604fedb92fd4a795ce7a35.jpg,"The exact Round table 29"" high (8 colours) — 8 colours from the reference image on a pure white seamless background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects, no props. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260504-160905
round-table-42,10132451787065,2,studio-white,round-table-42__pos2__studio-white.jpg,https://cdn.shopify.com/s/files/1/0859/0413/0361/files/Screenshot2026-03-03101935.png?v=1772551371,https://v3b.fal.media/files/b/0a98e636/5-HUc_3Cyq6SyfpkaK4ON_8aa6a44812704e70b958c5534d0c250c.jpg,"The exact Round table — 42 from the reference image on a pure white seamless background. Professional studio product photography, soft even lighting, subtle drop shadow, sharp focus on every detail. Match the reference exactly: same form, colour, material, hardware, and proportions. No background objects, no props. No people, no hands. No text, no logos, no signage, no readable writing on any surface. Any computer or TV screen must be off / blank black. No watermarks, no captions.",,OK,20260504-160905
