handle,title,action,id,disjunctive
all-seating,All Seating,would_create,,False
all-desks,All Desks & Workstations,would_create,,False
all-storage,All Storage & Filing,would_create,,False
all-tables,All Tables,would_create,,False
all-boardroom,All Boardroom & Conference,would_create,,False
all-ergonomic,All Ergonomic Products,would_create,,False
all-panels,All Panels & Dividers,would_create,,False
all-accessories,All Accessories,would_create,,False
all-quiet-spaces,All Quiet Spaces,would_create,,False
all-business-furniture,All Business Furniture,would_create,,True
keilhauer,Keilhauer,would_create,,False
global-teknion,Global / Teknion,would_create,,False
ergocentric,ergoCentric,would_create,,False
oecm-eligible,OECM-Eligible Products,would_create,,False
